Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,iso_alpha
USA,North America,331198130,5032179,,162804,,2576668,,2292707,18296,15194,492,63139605,190640,Americas,USA
Brazil,South America,212710692,2917562,,98644,,2047660,,771258,8318,13716,464,13206188,62085,Americas,BRA
India,Asia,1381344997,2025409,,41638,,1377384,,606387,8944,1466,30,22149351,16035,South-EastAsia,IND
Russia,Europe,145940924,871894,,14606,,676357,,180931,2300,5974,100,29716907,203623,Europe,RUS
South Africa,Africa,59381566,538184,,9604,,387316,,141264,539,9063,162,3149807,53044,Africa,ZAF
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas,MEX
Peru,South America,33016319,455409,,20424,,310337,,124648,1426,13793,619,2493429,75521,Americas,PER
Chile,South America,19132514,366671,,9889,,340168,,16614,1358,19165,517,1760615,92022,Americas,CHL
Colombia,South America,50936262,357710,,11939,,192355,,153416,1493,7023,234,1801835,35374,Americas,COL
Spain,Europe,46756648,354530,,28500,,,,,617,7582,610,7064329,151087,Europe,ESP
Iran,Asia,84097623,320117,,17976,,277463,,24678,4156,3806,214,2612763,31068,EasternMediterranean,IRN
UK,Europe,67922029,308134,,46413,,,,,73,4537,683,17515234,257873,Europe,UKR
Saudi Arabia,Asia,34865919,284226,,3055,,247089,,34082,1915,8152,88,3635705,104277,EasternMediterranean,SAU
Pakistan,Asia,221295851,281863,,6035,,256058,,19770,809,1274,27,2058872,9304,EasternMediterranean,PAK
Bangladesh,Asia,164851401,249651,,3306,,143824,,102521,,1514,20,1225124,7432,South-EastAsia,BGD
Italy,Europe,60452568,249204,,35187,,201323,,12694,42,4122,582,7099713,117443,Europe,ITA
Turkey,Asia,84428331,237265,,5798,,220546,,10921,580,2810,69,5081802,60191,Europe,TUR
Argentina,South America,45236884,228195,,4251,,99852,,124092,1150,5044,94,794544,17564,Americas,ARG
Germany,Europe,83811260,215210,,9252,,196200,,9758,236,2568,110,8586648,102452,Europe,DEU
France,Europe,65288306,195633,,30312,,82460,,82861,384,2996,464,3992206,61147,Europe,FRA
Iraq,Asia,40306025,140603,,5161,,101025,,34417,517,3488,128,1092741,27111,EasternMediterranean,IRQ
Philippines,Asia,109722719,119460,,2150,,66837,,50473,239,1089,20,1669996,15220,WesternPacific,PHL
Indonesia,Asia,273808365,118753,,5521,,75645,,37587,,434,20,1633156,5965,South-EastAsia,IDN
Canada,North America,37775022,118561,,8966,,103106,,6489,2263,3139,237,4319172,114339,Americas,CAN
Qatar,Asia,2807805,112092,,178,,108831,,3083,77,39922,63,511000,181993,EasternMediterranean,QAT
Kazakhstan,Asia,18798667,95942,,1058,,68871,,26013,221,5104,56,2163713,115099,Europe,KAZ
Egypt,Africa,102516525,95006,,4951,,48898,,41157,41,927,48,135000,1317,EasternMediterranean,EGY
Ecuador,South America,17668824,90537,,5877,,71318,,13342,378,5124,333,258582,14635,Americas,ECU
Bolivia,South America,11688459,86423,1282,3465,80,27373,936,55585,71,7394,296,183583,15706,Americas,BOL
Sweden,Europe,10105596,81967,,5766,,,,,38,8111,571,863315,85429,Europe,SWE
Oman,Asia,5118446,80713,,492,,70910,,9311,177,15769,96,309212,60411,EasternMediterranean,OMN
Israel,Asia,9197590,79559,,576,,53427,,25556,358,8650,63,1872453,203581,Europe,ISR
Ukraine,Europe,43705858,76808,,1819,,42524,,32465,158,1757,42,1116641,25549,Europe,UKR
Dominican Republic,North America,10858648,76536,,1246,,40539,,34751,317,7048,115,281926,25963,Americas,DOM
Panama,North America,4321282,71418,,1574,,45658,,24186,161,16527,364,240995,55769,Americas,PAN
Belgium,Europe,11594739,71158,,9859,,17661,,43638,61,6137,850,1767120,152407,Europe,BEL
Kuwait,Asia,4276658,70045,,469,,61610,,7966,127,16378,110,522200,122105,EasternMediterranean,KWT
Belarus,Europe,9449001,68503,,580,,63756,,4167,,7250,61,1344303,142269,Europe,BLR
UAE,Asia,9902079,61845,,354,,55739,,5752,,6246,36,5262658,531470,EasternMediterranean, 
Romania,Europe,19224023,57895,,2566,,28992,,26337,458,3012,133,1319369,68631,Europe,ROU
Netherlands,Europe,17138756,56982,,6153,,,,,37,3325,359,1079860,63007,Europe,NLD
Singapore,Asia,5854932,54555,,27,,48031,,6497,,9318,5,1474372,251817,WesternPacific,SGP
Guatemala,North America,17946899,54339,,2119,,42070,,10150,5,3028,118,172712,9624,Americas,GTM
Portugal,Europe,10193593,52061,,1743,,37840,,12478,42,5107,171,1705474,167308,Europe,PRT
Poland,Europe,37842302,49515,,1774,,35642,,12099,72,1308,47,2374686,62752,Europe,POL
Nigeria,Africa,206606300,45244,,930,,32430,,11884,7,219,5,306894,1485,Africa,NGA
Honduras,North America,9919704,45098,,1423,,6116,,37559,52,4546,143,109292,11018,Americas,HND
Bahrain,Asia,1706669,42889,,156,,39945,,2788,41,25130,91,876700,513691,EasternMediterranean,BHR
Japan,Asia,126435859,42263,,1026,,28877,,12360,115,334,8,938739,7425,WesternPacific,JPN
Armenia,Asia,2963811,39819,,772,,31556,,7491,,13435,260,171600,57898,Europe,ARM
Ghana,Africa,31133483,39642,,199,,36384,,3059,7,1273,6,405817,13035,Africa,GHA
Kyrgyzstan,Asia,6534479,38659,,1447,,30099,,7113,24,5916,221,267718,40970,Europe,KGZ
Afghanistan,Asia,39009447,36896,,1298,,25840,,9758,31,946,33,90396,2317,EasternMediterranean,AFG
Switzerland,Europe,8660952,36108,,1985,,31600,,2523,23,4169,229,822764,94997,Europe,CHE
Algeria,Africa,43926079,33626,,1273,,23238,,9115,57,766,29,,,Africa,DZA
Azerbaijan,Asia,10148243,33247,,479,,29275,,3493,66,3276,47,766179,75499,Europe,AZE
Morocco,Africa,36953359,29644,,449,,20553,,8642,31,802,12,1383816,37448,EasternMediterranean,MAR
Uzbekistan,Asia,33516027,28315,,175,,19291,,8849,228,845,5,1377915,41112,Europe,UZB
Serbia,Europe,8733665,27332,,621,,14047,,12664,120,3129,71,723137,82799,Europe,SRB
Moldova,Europe,4032983,26628,,828,,18676,,7124,362,6603,205,128076,31757,Europe,MDA
Ireland,Europe,4943200,26372,,1768,,23364,,1240,5,5335,358,652917,132084,Europe,IRL
Kenya,Africa,53881160,24411,,399,,10444,,13568,44,453,7,335318,6223,Africa,KEN
Venezuela,South America,28427499,22299,,195,,12146,,9958,42,784,7,1567431,55138,Americas,VEN
Nepal,Asia,29186486,21750,,65,,15389,,6296,,745,2,731977,25079,South-EastAsia,NPL
Austria,Europe,9011577,21696,,719,,19596,,1381,25,2408,80,937275,104008,Europe,AUT
Costa Rica,North America,5098730,21070,,200,,7038,,13832,103,4132,39,96110,18850,Americas,CRI
Ethiopia,Africa,115223736,20900,,365,,9027,,11508,185,181,3,468814,4069,Africa,ETH
Australia,Australia/Oceania,25528864,19890,,255,,10941,,8694,52,779,10,4631419,181419,WesternPacific,AUS
El Salvador,North America,6489514,19126,,513,,9236,,9377,509,2947,79,251271,38720,Americas,SLV
Czechia,Europe,10711019,17731,,390,,12320,,5021,17,1655,36,728670,68030,Europe,CZE
Cameroon,Africa,26606188,17718,,391,,15320,,2007,30,666,15,149000,5600,Africa,CMR
Ivory Coast,Africa,26437950,16447,,103,,12484,,3860,,622,4,104584,3956,Africa, 
S. Korea,Asia,51273732,14519,20,303,1,13543,42,673,18,283,6,1613652,31471,WesternPacific, 
Denmark,Europe,5794279,14306,,617,,12787,,902,2,2469,106,1654512,285542,Europe,DNK
Palestine,Asia,5112340,13398,,92,,6907,,6399,,2621,18,200280,39176,EasternMediterranean,PSE
