Constellation,Name,Bayer,Flamsteed,Variable Star,Henry Draper Number,Hipparcos Number,Right Ascension,Declination,Visual Magnitude,Absolute Magnitude,Distance,Spectral class,Notes
Andromeda,Alpheratz,"α, (δ)[1]",21,,358,677,00h 08m 23.17s,+29° 05′ 27.0′′,2.07,−0.30,97,B9p,"Alpheratz, Sirrah; α2 CVn variable , Δ*V* = 0.04m, *P* = 0.966222 d; spectroscopic binary , also δ Peg"
Andromeda,Mirach,β,43,,6860,5447,01h 09m 43.80s,+35° 37′ 15.0′′,2.07,−1.86,199,M0IIIvar,"Mirach; variable , has a planet or brown dwarf (b )"
Andromeda,Gamma Andromedae,γ1,57,,12533,9640,02h 03m 53.92s,+42° 19′ 47.5′′,2.10,−3.08,355,K3IIb,Almach; quadruple star system
Andromeda,Delta Andromedae,δ,31,,3627,3092,00h 39m 19.60s,+30° 51′ 40.4′′,3.27,0.81,101,K3III...,spectroscopic binary; suspected variable
Andromeda,Andromeda Galaxy,(n)[2],33,,,,00h 42m 44.31s,+41° 16′ 09.4′′,3.443,,2540000,,BD+40°148; naked eye spiral galaxy in the Local group
Andromeda,51 Andromedae,(υ)[4][5],51,,9927,7607,01h 37m 59.50s,+48° 37′ 42.6′′,3.59,−0.04,174,K3III,Nembus; multiple star
Andromeda,Omicron Andromedae,ο,1,,217675,113726,23h 01m 55.25s,+42° 19′ 33.5′′,3.62,−3.01,692,B6pv SB,"quadruple star system ; γ Cas variable , *V* max = 3.55m, *V* min = 3.78m"
Andromeda,Lambda Andromedae,λ,16,,222107,116584,23h 37m 33.71s,+46° 27′ 33.0′′,3.81,1.75,84,G8III-IV,"RS CVn variable , *V* max = 3.65m, *V* min = 4.05m, *P* = 53.95 d"
Andromeda,Mu Andromedae,μ,37,,5448,4436,00h 56m 45.10s,+38° 29′ 57.3′′,3.86,0.75,136,A5V,multiple star
Andromeda,Zeta Andromedae,ζ,34,,4502,3693,00h 47m 20.39s,+24° 16′ 02.6′′,4.08,0.35,181,K1II,"β Lyr /RS CVn variable, *V* max = 3.92m, *V* min = 4.14m, *P* = 17.7696 d"
Andromeda,Upsilon Andromedae,,50,,9826,7513,01h 36m 47.98s,+41° 24′ 23.0′′,4.10,3.45,44,F8V,"Titawin,8] has four [planets (b , c , d & e )"
Andromeda,Kappa Andromedae,κ,19,,222439,116805,23h 40m 24.44s,+44° 20′ 02.3′′,4.15,0.57,170,B9IVn,"triple star, has a planet (b )"
Andromeda,Phi Andromedae,φ,42,,6811,5434,01h 09m 30.12s,+47° 14′ 30.6′′,4.26,−2.51,736,B7III,emission-line star
Andromeda,Iota Andromedae,ι,17,,222173,116631,23h 38m 08.18s,+43° 16′ 05.1′′,4.29,−1.65,502,B8V,"Keff al Salsalat, Manus Catenata[9]"
Andromeda,Pi Andromedae,π,29,,3369,2912,00h 36m 52.84s,+33° 43′ 09.7′′,4.34,−2.18,656,B5V,spectroscopic binary; suspected variable
Andromeda,Epsilon Andromedae,ε,30,,3546,3031,00h 38m 33.50s,+29° 18′ 44.5′′,4.34,0.77,169,G5III...,
Andromeda,Eta Andromedae,η,38,,5516,4463,00h 57m 12.43s,+23° 25′ 03.9′′,4.40,0.04,243,G8III-IV,spectroscopic binary
Andromeda,Sigma Andromedae,σ,25,,1404,1473,00h 18m 19.71s,+36° 47′ 07.2′′,4.51,1.33,141,A2V,suspected variable
Andromeda,Nu Andromedae,ν,35,,4727,3881,00h 49m 48.83s,+41° 04′ 44.2′′,4.53,−2.06,679,B5V SB,spectroscopic binary
Andromeda,7 Andromedae,,7,,219080,114570,23h 12m 32.92s,+49° 24′ 21.5′′,4.53,2.58,80,F0V,
Andromeda,Theta Andromedae,θ,24,,1280,1366,00h 17m 05.54s,+38° 40′ 54.0′′,4.61,0.16,253,A2V,suspected variable
Andromeda,3 Andromedae,,3,,218031,113919,23h 04m 10.83s,+50° 03′ 06.1′′,4.64,0.94,179,K0III,
Andromeda,65 Andromedae,,65,,14872,11313,02h 25m 37.40s,+50° 16′ 43.2′′,4.73,−0.39,345,K4III,triple star
Andromeda,58 Andromedae,,58,,13041,9977,02h 08m 29.15s,+37° 51′ 33.1′′,4.78,0.86,198,A5IV-V,
Andromeda,8 Andromedae,,8,,219734,115022,23h 17m 44.62s,+49° 00′ 55.0′′,4.82,−1.69,655,M2III,suspected variable
Andromeda,Omega Andromedae,ω[10],48,,8799,6813,01h 27m 39.09s,+45° 24′ 25.0′′,4.83,2.57,92,F5IV,
Andromeda,Gamma Andromedae,γ2,57,,12534,,02h 03m 54.70s,+42° 19′ 51.0′′,4.84,-0.3,350,B8V,component of the γ And system; triple star system
Andromeda,60 Andromedae,b,60,,13520,10340,02h 13m 13.34s,+44° 13′ 54.1′′,4.84,−1.32,556,K4III,suspected variable
Andromeda,Xi Andromedae,ξ[10],46,,8207,6411,01h 22m 20.39s,+45° 31′ 43.5′′,4.87,0.98,195,K0III-IV,Adhil
Andromeda,Tau Andromedae,τ,53,,10205,7818,01h 40m 34.80s,+40° 34′ 37.6′′,4.96,−1.64,681,B8III,suspected variable
Andromeda,HD 10307,υ[11],,,10307,7918,01h 41m 46.52s,+42° 36′ 49.7′′,4.96,4.45,41,G2V,spectroscopic binary
Andromeda,Psi Andromedae,ψ,20,,223047,117221,23h 46m 02.04s,+46° 25′ 13.0′′,4.97,−3.05,1309,G5Ib,multiple star
Andromeda,22 Andromedae,,22,,571,841,00h 10m 19.24s,+46° 04′ 20.2′′,5.01,−2.44,1006,F2II,
Andromeda,Chi Andromedae,χ[12],52,,10072,7719,01h 39m 21.02s,+44° 23′ 10.1′′,5.01,0.66,242,G8III...,
Andromeda,41 Andromedae,(d)[13],41,,6658,5317,01h 08m 00.72s,+43° 56′ 32.1′′,5.04,1.14,196,A3m,
Andromeda,2 Andromedae,,2,,217782,113788,23h 02m 36.34s,+42° 45′ 28.1′′,5.09,−0.06,349,A3Vn,multiple star
Andromeda,V428 Andromedae,,,V428,3346,2900,00h 36m 46.47s,+44° 29′ 18.6′′,5.14,−1.38,656,K5III,"semiregular variable , Δ*V* = 0.06m, *P* = 11.5 d; has a possible planetary system"
Andromeda,Rho Andromedae,ρ,27,,1671,1686,00h 21m 07.23s,+37° 58′ 07.3′′,5.16,1.71,160,F5III,
Andromeda,HD 2421,,,,2421,2225,00h 28m 13.59s,+44° 23′ 40.2′′,5.18,0.63,265,A2Vs,spectroscopic binary
