Date,User_ID,Steps,Calories,Distance,Active_Minutes,Heart_Rate,Sleep_Duration
2024-01-01,1,5423,3481,4.34,113,78,5.5
2024-01-02,1,6205,2902,4.96,57,62,8.1
2024-01-03,1,3330,2272,2.66,93,85,5.0
2024-01-04,1,12912,2741,10.33,53,60,4.1
2024-01-05,1,14281,2635,11.42,68,60,4.0
2024-01-06,1,18646,2804,14.92,86,68,6.3
2024-01-07,1,4801,1813,3.84,68,94,4.4
2024-01-08,1,13313,1782,10.65,115,100,4.3
2024-01-09,1,5333,3307,4.27,65,85,4.6
2024-01-10,1,7341,1586,5.87,55,70,4.0
2024-01-11,1,5358,3038,4.29,41,83,6.4
2024-01-12,1,8629,2842,6.9,85,86,7.6
2024-01-13,1,14330,2125,11.46,53,72,8.0
2024-01-14,1,16974,2559,13.58,85,83,6.0
2024-01-15,1,17176,1592,13.74,80,71,5.1
2024-01-16,1,4939,1679,3.95,62,64,6.3
2024-01-17,1,9036,2442,7.23,30,71,4.2
2024-01-18,1,7189,1836,5.75,88,87,7.2
2024-01-19,1,11178,3140,8.94,56,70,5.1
2024-01-20,1,17428,1930,13.94,42,61,4.1
2024-01-21,1,12698,1884,10.16,77,81,6.8
2024-01-22,1,6112,2034,4.89,66,91,4.5
2024-01-23,1,10259,3307,8.21,80,81,7.4
2024-01-24,1,4773,3125,3.82,98,78,8.2
2024-01-25,1,17929,1955,14.34,63,89,6.9
2024-01-26,1,16878,2013,13.5,109,70,8.5
2024-01-27,1,19036,1941,15.23,105,67,8.3
2024-01-28,1,12300,2297,9.84,101,92,6.1
2024-01-29,1,17174,1651,13.74,61,98,7.4
2024-01-30,1,14412,1935,11.53,36,69,7.7
2024-01-01,2,9857,2155,7.89,56,62,7.1
2024-01-02,2,18243,3390,14.59,116,78,6.0
2024-01-03,2,16775,2467,13.42,37,74,4.9
2024-01-04,2,10987,2222,8.79,37,95,5.2
2024-01-05,2,7481,2086,5.98,72,65,7.7
2024-01-06,2,17647,2465,14.12,65,97,8.0
2024-01-07,2,11969,2517,9.58,70,89,8.9
2024-01-08,2,9545,3106,7.64,53,80,4.5
2024-01-09,2,3332,1676,2.67,77,66,7.8
2024-01-10,2,5138,2526,4.11,62,92,5.5
2024-01-11,2,4356,3497,3.48,33,77,4.1
2024-01-12,2,7157,2520,5.73,66,63,5.7
2024-01-13,2,8351,1903,6.68,59,73,4.2
2024-01-14,2,11938,2042,9.55,111,73,8.0
2024-01-15,2,8577,3081,6.86,99,94,8.1
2024-01-16,2,9650,2126,7.72,99,85,8.2
2024-01-17,2,11101,2804,8.88,41,70,4.5
2024-01-18,2,14177,2091,11.34,39,92,4.7
2024-01-19,2,18589,3155,14.87,90,73,6.8
2024-01-20,2,3749,1853,3.0,84,94,4.3
2024-01-21,2,16765,3024,13.41,96,77,7.9
2024-01-22,2,5678,2779,4.54,32,99,8.1
2024-01-23,2,9174,3081,7.34,39,96,6.1
2024-01-24,2,6725,1996,5.38,60,84,6.8
2024-01-25,2,7074,2347,5.66,87,72,6.6
2024-01-26,2,12445,2233,9.96,34,68,4.9
2024-01-27,2,6608,3050,5.29,106,94,7.2
2024-01-28,2,10167,2976,8.13,30,93,7.7
2024-01-29,2,15812,1730,12.65,119,62,6.2
2024-01-30,2,10514,1803,8.41,103,68,5.0
2024-01-01,3,16465,1892,13.17,87,74,5.5
2024-01-02,3,19501,2855,15.6,60,96,7.3
2024-01-03,3,9699,2926,7.76,50,68,6.0
2024-01-04,3,6922,1884,5.54,114,63,5.4
2024-01-05,3,13070,2015,10.46,78,74,7.1
2024-01-06,3,5153,2902,4.12,113,97,5.4
2024-01-07,3,14152,3341,11.32,101,90,7.7
2024-01-08,3,10316,2121,8.25,95,98,8.0
2024-01-09,3,8232,2514,6.59,113,80,8.0
2024-01-10,3,10877,3092,8.7,94,88,5.8
2024-01-11,3,10066,2792,8.05,101,75,8.3
2024-01-12,3,3314,3161,2.65,91,72,8.1
2024-01-13,3,16665,2229,13.33,37,99,6.7
2024-01-14,3,14158,1746,11.33,101,84,5.6
2024-01-15,3,20000,1599,16.0,116,68,6.3
2024-01-16,3,3195,1535,2.56,109,98,7.2
2024-01-17,3,14400,1579,11.52,32,65,7.4
2024-01-18,3,16748,1651,13.4,90,66,8.1
2024-01-19,3,7792,2126,6.23,65,88,4.9
2024-01-20,3,12667,3228,10.13,47,70,6.5
2024-01-21,3,9542,1768,7.63,58,100,5.8
2024-01-22,3,18840,2629,15.07,97,80,4.8
2024-01-23,3,14525,3124,11.62,99,100,8.2
2024-01-24,3,11364,2917,9.09,50,65,8.7
2024-01-25,3,15193,2694,12.15,35,83,6.4
2024-01-26,3,4495,3047,3.6,87,63,5.8
2024-01-27,3,5902,2296,4.72,44,60,8.0
2024-01-28,3,9310,3114,7.45,88,75,4.4
2024-01-29,3,9663,2677,7.73,118,69,8.0
2024-01-30,3,11099,1697,8.88,79,62,5.4
2024-01-01,4,15909,2736,12.73,42,74,4.1
2024-01-02,4,10390,1817,8.31,31,64,6.8
2024-01-03,4,18649,3116,14.92,57,72,4.5
2024-01-04,4,6024,2216,4.82,96,66,5.6
2024-01-05,4,19116,1966,15.29,74,74,4.3
2024-01-06,4,11268,1622,9.01,52,64,6.4
2024-01-07,4,5042,3192,4.03,61,86,8.3
2024-01-08,4,16445,3344,13.16,55,98,6.8
2024-01-09,4,5168,3459,4.13,84,99,5.1
2024-01-10,4,16146,2102,12.92,36,61,5.0
2024-01-11,4,7127,1546,5.7,52,98,5.9
2024-01-12,4,19530,3230,15.62,70,79,7.6
2024-01-13,4,16845,3167,13.48,51,84,4.8
2024-01-14,4,13223,1535,10.58,34,63,8.8
2024-01-15,4,14910,2706,11.93,78,78,4.1
2024-01-16,4,10272,2203,8.22,66,86,4.5
2024-01-17,4,7208,2868,5.77,112,85,7.1
