epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2481,1.16426,2.53231,1.30981,0,0,0,0,0,0,0,0.000333067,0.000333067,0.000333067
2,136.573,1.19622,2.02707,1.31141,0,0,0,0,0,0,0,0.000659736,0.000659736,0.000659736
3,173.656,1.2175,1.87337,1.33202,0,0,0,0,0,0,0,0.000979739,0.000979739,0.000979739
4,210.908,1.18817,1.71545,1.30836,0,0,0,0,0,0,0,0.00097,0.00097,0.00097
5,248.24,1.15614,1.58869,1.27583,0,0,0,0,0,0,0,0.00096,0.00096,0.00096
6,285.549,1.12361,1.50962,1.26165,0,0,0,0,0,0,0,0.00095,0.00095,0.00095
7,323.052,1.07225,1.40496,1.22857,0,0,0,0,0,0,0,0.00094,0.00094,0.00094
8,360.579,1.0557,1.3317,1.22455,0,0,0,0,0,0,0,0.00093,0.00093,0.00093
9,398.207,1.03183,1.30403,1.2076,0,0,0,0,0,0,0,0.00092,0.00092,0.00092
10,435.956,1.02482,1.24857,1.19667,0,0,0,0,0,0,0,0.00091,0.00091,0.00091
11,473.726,0.99299,1.20636,1.18265,0,0,0,0,0,0,0,0.0009,0.0009,0.0009
12,511.567,0.99347,1.17428,1.17573,0,0,0,0,0,0,0,0.00089,0.00089,0.00089
13,549.466,0.98146,1.13858,1.16801,0,0,0,0,0,0,0,0.00088,0.00088,0.00088
14,587.398,0.97076,1.13279,1.16438,0,0,0,0,0,0,0,0.00087,0.00087,0.00087
15,625.375,0.95599,1.09541,1.16036,0,0,0,0,0,0,0,0.00086,0.00086,0.00086
16,663.377,0.94993,1.06198,1.14866,0,0,0,0,0,0,0,0.00085,0.00085,0.00085
17,701.343,0.94265,1.05026,1.14694,0,0,0,0,0,0,0,0.00084,0.00084,0.00084
18,739.285,0.9269,1.02737,1.14284,0,0,0,0,0,0,0,0.00083,0.00083,0.00083
19,777.239,0.91305,0.99599,1.13371,0,0,0,0,0,0,0,0.00082,0.00082,0.00082
20,815.048,0.91528,1.00397,1.12725,0,0,0,0,0,0,0,0.00081,0.00081,0.00081
21,853.014,0.90048,0.96175,1.1173,0,0,0,0,0,0,0,0.0008,0.0008,0.0008
22,891.113,0.90436,0.95706,1.12081,0,0,0,0,0,0,0,0.00079,0.00079,0.00079
23,929.07,0.88831,0.94537,1.11257,0,0,0,0,0,0,0,0.00078,0.00078,0.00078
24,966.976,0.88925,0.9331,1.1164,0,0,0,0,0,0,0,0.00077,0.00077,0.00077
25,1005.02,0.87645,0.91812,1.0997,0,0,0,0,0,0,0,0.00076,0.00076,0.00076
26,1042.99,0.87804,0.90059,1.10466,0,0,0,0,0,0,0,0.00075,0.00075,0.00075
27,1080.91,0.86037,0.86621,1.09725,0,0,0,0,0,0,0,0.00074,0.00074,0.00074
28,1119.06,0.87519,0.88592,1.09987,0,0,0,0,0,0,0,0.00073,0.00073,0.00073
29,1157.11,0.8589,0.88224,1.09718,0,0,0,0,0,0,0,0.00072,0.00072,0.00072
30,1195.17,0.8516,0.85281,1.08839,0,0,0,0,0,0,0,0.00071,0.00071,0.00071
31,1233.29,0.8639,0.86703,1.09927,0,0,0,0,0,0,0,0.0007,0.0007,0.0007
32,1271.28,0.84789,0.83004,1.086,0,0,0,0,0,0,0,0.00069,0.00069,0.00069
33,1309.39,0.84199,0.84246,1.0873,0,0,0,0,0,0,0,0.00068,0.00068,0.00068
34,1347.31,0.83612,0.83642,1.08257,0,0,0,0,0,0,0,0.00067,0.00067,0.00067
35,1385.47,0.83366,0.81264,1.08237,0,0,0,0,0,0,0,0.00066,0.00066,0.00066
36,1423.56,0.83964,0.80482,1.08531,0,0,0,0,0,0,0,0.00065,0.00065,0.00065
37,1461.61,0.81128,0.77457,1.06811,0,0,0,0,0,0,0,0.00064,0.00064,0.00064
38,1499.74,0.80615,0.77946,1.06875,0,0,0,0,0,0,0,0.00063,0.00063,0.00063
39,1537.76,0.81401,0.78205,1.07027,0,0,0,0,0,0,0,0.00062,0.00062,0.00062
40,1575.67,0.8044,0.76786,1.06521,0,0,0,0,0,0,0,0.00061,0.00061,0.00061
41,1613.6,0.75186,0.62147,1.0008,0,0,0,0,0,0,0,0.0006,0.0006,0.0006
42,1651.36,0.74485,0.59463,0.99909,0,0,0,0,0,0,0,0.00059,0.00059,0.00059
43,1689.03,0.72806,0.58316,0.99139,0,0,0,0,0,0,0,0.00058,0.00058,0.00058
44,1726.88,0.72527,0.57692,0.99362,0,0,0,0,0,0,0,0.00057,0.00057,0.00057
45,1764.56,0.71718,0.55543,0.98319,0,0,0,0,0,0,0,0.00056,0.00056,0.00056
46,1802.26,0.70964,0.55772,0.98407,0,0,0,0,0,0,0,0.00055,0.00055,0.00055
47,1840.02,0.69841,0.55608,0.9795,0,0,0,0,0,0,0,0.00054,0.00054,0.00054
48,1877.95,0.70154,0.53043,0.9759,0,0,0,0,0,0,0,0.00053,0.00053,0.00053
49,1915.66,0.69357,0.5228,0.97144,0,0,0,0,0,0,0,0.00052,0.00052,0.00052
50,1956.57,0.68936,0.51526,0.96706,0.79495,0.80514,0.85096,0.64034,1.08662,0.79757,1.04475,0.00051,0.00051,0.00051
