pos,player,team,runs,mat,inns,no,hs,avg,bf,sr,100,50,4s,6s
1,Vaibhav Sooryavanshi,RR,776,16,16,0,103,48.50,327,237.30,1,5,63,72
2,Shubman Gill,GT,732,16,16,0,104,45.75,449,163.02,1,6,74,33
3,Sai Sudharsan,GT,722,17,17,1,100,45.13,457,157.98,1,8,75,30
4,Virat Kohli,RCB,675,16,16,4,105*,56.25,407,165.84,1,5,73,25
5,Heinrich Klaasen,SRH,624,15,15,2,69,48.00,390,160.00,0,6,48,31
6,Ishan Kishan,SRH,602,15,15,0,91,40.13,330,182.42,0,6,60,32
7,KL Rahul,DC,593,14,14,1,152*,45.62,340,174.41,1,5,56,31
8,Abhishek Sharma,SRH,563,15,15,1,135*,40.21,275,204.72,1,4,50,43
9,Mitchell Marsh,LSG,563,13,13,0,111,43.31,345,163.18,1,3,51,36
10,Jos Buttler,GT,526,17,17,3,60,37.57,345,152.48,0,4,51,26
11,Dhruv Jurel,RR,515,16,16,2,81*,36.79,333,154.65,0,6,47,24
12,Prabhsimran Singh,PBKS,510,14,13,1,80*,42.50,302,168.87,0,6,55,23
13,Rajat Patidar,RCB,501,15,14,2,93*,41.75,260,192.69,0,5,30,42
14,Shreyas Iyer,PBKS,498,14,13,4,101*,55.33,295,168.81,1,5,39,30
15,Cooper Connolly,PBKS,491,14,13,2,107*,44.64,301,163.12,1,2,43,32
16,Sanju Samson,CSK,477,14,14,3,115*,43.36,288,165.62,2,1,53,24
17,Devdutt Padikkal,RCB,464,16,15,1,61,33.14,275,168.72,0,3,49,24
18,Ryan Rickelton,MI,448,12,12,1,123*,40.73,240,186.66,1,2,31,38
19,Yashasvi Jaiswal,RR,427,16,16,2,77*,30.50,280,152.50,0,3,52,18
20,Angkrish Raghuvanshi,KKR,422,13,12,2,82*,42.20,288,146.52,0,5,40,19
21,Travis Head,SRH,410,15,15,0,76,27.33,241,170.12,0,2,46,23
22,Washington Sundar,GT,377,17,16,6,55,37.70,251,150.19,0,3,40,12
23,Priyansh Arya,PBKS,364,13,13,0,93,28.00,172,211.62,0,3,27,32
24,Tilak Varma,MI,359,14,14,2,101*,29.92,246,145.93,1,2,30,17
25,Finn Allen,KKR,349,11,11,1,100*,34.90,163,214.11,1,1,33,28
26,Ruturaj Gaikwad,CSK,337,14,14,2,74*,28.08,273,123.44,0,2,29,12
27,Ajinkya Rahane,KKR,335,14,14,1,67,25.77,248,135.08,0,2,25,18
28,Cameron Green,KKR,322,14,14,4,79,32.20,221,145.70,0,2,22,17
29,Naman Dhir,MI,318,14,14,2,57,26.50,216,147.22,0,2,31,13
30,Donovan Ferreira,RR,317,15,13,4,69,35.22,177,179.09,0,2,25,23
31,Rishabh Pant,LSG,312,14,13,2,68*,28.36,226,138.05,0,1,30,11
32,Riyan Parag,RR,309,14,14,1,90,23.77,196,157.65,0,2,24,21
33,Tim David,RCB,305,16,15,6,70*,33.89,162,188.27,0,1,22,23
34,Nitish Kumar Reddy,SRH,302,14,13,3,56,30.20,176,171.59,0,1,19,21
35,Rinku Singh,KKR,295,14,11,6,83*,59.00,198,148.98,0,2,27,11
36,Kartik Sharma,CSK,295,11,11,2,71,32.78,216,136.57,0,2,24,16
37,Rohit Sharma,MI,283,9,9,1,84,35.38,180,157.22,0,2,21,21
38,Pathum Nissanka,DC,278,10,10,0,62,27.80,175,158.85,0,2,33,12
39,Tristan Stubbs,DC,275,14,13,5,60*,34.38,216,127.31,0,2,18,9
40,Shivam Dube,CSK,270,13,12,5,47,38.57,170,158.82,0,0,24,15
41,Surya Kumar Yadav,MI,270,13,13,0,60,20.77,183,147.54,0,2,28,10
42,Josh Inglis,LSG,266,5,5,0,85,53.20,143,186.01,0,3,32,12
43,Ravindra Jadeja,RR,266,14,11,7,45*,66.50,197,135.02,0,0,24,5
44,Sameer Rizvi,DC,252,11,9,2,90,36.00,171,147.36,0,2,15,17
45,Nicholas Pooran,LSG,234,14,14,1,63,18.00,183,127.86,0,1,11,19
46,Aiden Markram,LSG,231,12,11,2,45,25.67,167,138.32,0,0,20,11
47,Krunal Pandya,RCB,226,16,9,3,73,37.67,155,145.80,0,1,20,11
48,Nitish Rana,DC,225,9,9,0,91,25.00,149,151.00,0,2,27,10
49,Marcus Stoinis,PBKS,216,13,9,3,62*,36.00,120,180.00,0,1,23,11
50,Ayush Badoni,LSG,215,10,10,0,54,21.50,141,152.48,0,1,23,9
51,David Miller,DC,211,11,10,4,51,35.17,137,154.01,0,1,15,14
52,Venkatesh Iyer,RCB,209,7,8,2,73*,52.25,112,186.60,0,1,21,13
53,Hardik Pandya,MI,206,10,10,1,40,22.89,149,138.25,0,0,21,7
54,Phil Salt,RCB,202,6,6,0,78,33.67,120,168.33,0,2,16,11
55,Ayush Mhatre,CSK,201,6,6,0,73,33.50,113,177.87,0,2,20,12
56,Rahul Tewatia,GT,190,16,15,8,68,27.14,132,143.93,0,1,20,8
57,Rovman Powell,KKR,190,11,7,2,40,38.00,141,134.75,0,0,16,10
58,Axar Patel,DC,173,14,11,2,56,19.22,132,131.06,0,1,16,6
59,Ashutosh Sharma,DC,171,8,8,3,39,34.20,94,181.91,0,0,15,12
60,Mukul Choudhary,LSG,170,10,10,4,54*,28.33,120,141.66,0,1,11,12
61,Sarfaraz Khan,CSK,161,8,7,0,50,23.00,95,169.47,0,1,23,6
62,Suryansh Shedge,PBKS,158,7,7,3,57,39.50,90,175.55,0,1,9,12
63,Salil Arora,SRH,156,14,11,4,35,22.29,98,159.18,0,0,11,11
64,Dewald Brevis,CSK,151,11,8,0,44,18.88,118,127.96,0,0,8,10
65,Will Jacks,MI,139,7,7,2,46,27.80,76,182.89,0,0,12,9
66,Jamie Overton,CSK,136,10,6,2,43*,34.00,88,158.13,0,0,13,6
67,Shashank Singh,PBKS,132,12,9,3,56,22.00,70,188.57,0,1,11,8
68,Quinton de Kock,MI,132,3,3,1,112*,66.00,81,162.96,1,0,9,9
69,Urvil Patel,CSK,129,7,7,0,65,18.43,64,201.56,0,1,6,14
70,Sherfane Rutherford,MI,123,8,7,2,71*,24.60,75,164.00,0,1,5,12
71,Abdul Samad,LSG,116,8,8,2,37*,19.33,88,131.81,0,0,10,5
72,Jitesh Sharma,RCB,116,16,12,3,23,12.89,95,122.10,0,0,9,8
73,Abishek Porel,DC,108,4,4,0,51,27.00,88,122.72,0,1,15,1
74,Jacob Bethell,RCB,96,7,7,0,27,13.71,77,124.67,0,0,12,3
75,Himmat Singh,LSG,92,6,5,2,40*,30.67,69,133.33,0,0,5,5
76,Prashant Veer,CSK,90,6,5,3,43,45.00,67,134.32,0,0,10,3
77,Romario Shepherd,RCB,83,15,7,3,23*,20.75,66,125.75,0,0,6,5
78,Ramandeep Singh,KKR,82,8,6,1,35,16.40,68,120.58,0,0,8,2
79,Shubham Dubey,RR,81,7,6,2,31*,20.25,58,139.65,0,0,8,3
