pos,player,team,wkts,mat,inns,ov,runs,bbi,avg,econ,sr,4w,5w
1,Kagiso Rabada,GT,29,17,17,64.4,626,25/3,21.58,9.68,13.37,0,0
2,Bhuvneshwar Kumar,RCB,28,18,16,63.0,501,23/4,17.89,7.95,13.50,1,0
3,Jofra Archer,RR,25,18,16,60.0,559,17/3,22.36,9.31,14.40,0,0
4,Rashid Khan,GT,21,17,17,56.5,518,33/4,24.57,9.07,16.23,1,0
5,Anshul Kamboj,CSK,21,14,14,50.2,530,22/3,25.23,10.52,14.38,0,0
6,Eshan Malinga,SRH,20,15,15,54.2,507,32/4,25.35,9.33,16.30,1,0
7,Mohammed Siraj,GT,19,17,17,62.0,562,26/3,29.57,9.06,19.57,0,0
8,Rasikh Dar,RCB,19,12,12,42.5,405,24/4,21.31,9.45,13.52,1,0
9,Kartik Tyagi,KKR,18,14,13,51.0,498,22/3,27.66,9.76,17.00,0,0
10,Jason Holder,GT,17,11,11,38.2,290,24/4,17.05,7.58,13.52,1,0
11,Prince Yadav,LSG,16,14,14,52.0,459,32/3,28.68,8.82,19.50,0,0
12,Prasidh Krishna,GT,16,12,12,39.0,407,28/4,25.43,10.43,14.62,1,0
13,Sunil Narine,KKR,15,13,13,51.0,339,28/2,22.60,6.64,20.40,0,0
14,Sakib Hussain,SRH,15,11,11,42.0,397,24/4,26.46,9.45,16.80,1,0
15,Josh Hazlewood,RCB,15,13,13,51.3,494,12/4,32.93,9.59,20.60,1,0
16,AM Ghazanfar,MI,15,11,11,38.5,389,17/2,25.93,10.01,15.53,0,0
17,Krunal Pandya,RCB,14,16,15,50.3,425,18/2,30.35,8.41,21.64,0,0
18,Jamie Overton,CSK,14,10,10,28.0,249,18/4,17.78,8.89,12.00,1,0
19,Brijesh Sharma,RR,14,13,13,45.3,450,18/2,32.14,9.89,19.50,0,0
20,Nandre Burger,RR,14,13,13,43.3,440,21/2,31.42,10.11,18.64,0,0
21,Arshdeep Singh,PBKS,14,14,14,53.0,541,22/3,38.64,10.20,22.71,0,0
22,Praful Hinge,SRH,14,7,7,26.0,305,34/4,21.78,11.73,11.14,1,0
23,Lungisani Ngidi,DC,13,12,11,41.2,340,27/3,26.15,8.22,19.07,0,0
24,Noor Ahmad,CSK,13,14,14,51.0,428,21/3,32.92,8.39,23.53,0,0
25,Mohammad Shami,LSG,12,13,13,51.0,459,9/2,38.25,9.00,25.50,0,0
26,Yuzvendra Chahal,PBKS,12,14,12,41.0,385,36/3,32.08,9.39,20.50,0,0
27,Corbin Bosch,MI,12,8,6,20.1,195,26/4,16.25,9.68,10.08,1,0
28,Shardul Thakur,MI,12,9,7,22.0,270,39/4,22.50,12.27,11.00,1,0
29,Mohsin Khan,LSG,11,7,7,28.0,228,23/5,20.72,8.14,15.27,0,1
30,Axar Patel,DC,11,14,13,44.0,360,18/2,32.72,8.18,24.00,0,0
31,Varun Chakaravarthy,KKR,11,11,11,41.0,360,14/3,32.72,8.78,22.36,0,0
32,Ravi Bishnoi,RR,11,9,9,26.0,257,41/4,23.36,9.88,14.18,1,0
33,Mitchell Starc,DC,11,8,8,22.0,224,40/4,20.36,10.18,12.00,1,0
34,Vaibhav Arora,KKR,11,11,10,38.0,390,24/2,35.45,10.26,20.72,0,0
35,Ravindra Jadeja,RR,10,14,12,33.0,277,8/2,27.70,8.39,19.80,0,0
