posting_date,internship_title,employment_type,work_mode,industry,location,company_name,company_size,company_age,linkedin_presence,website_available,domain_age_months,verification_status,stipend,unrealistic_salary_flag,payment_required,registration_fee,job_description_length,grammatical_errors,vague_description_score,urgency_score,keyword_spam_score,fake_certificate_offer,recruiter_experience_years,recruiter_email_type,suspicious_email_domain,recruiter_response_time_hours,social_media_presence,emotional_manipulation_score,phishing_language_score,trust_signal_score,fraud_score,is_fake_posting
2023-08-01,Cloud Engineer,Full-Time,Remote,Marketing,Sydney,Bradford Ltd,Small,15.0,1,1,171,1,37251.0,0,1,2953,1105,6,26,38,26,0,5.1,Corporate,0,11.7,0,24,8,55.9,52.4,1
2023-09-01,Backend Developer,Part-Time,Onsite,EdTech,Toronto,"Willis, Adams and Edwards",Medium,12.0,1,0,157,1,46242.0,0,0,0,1981,5,38,64,12,0,3.6,Corporate,0,38.9,1,20,21,65.9,38.5,0
2023-04-18,Frontend Developer,Part-Time,Hybrid,Software,Bangalore,"Green, Allen and Harvey",Startup,14.0,0,1,162,1,42231.0,0,0,0,2049,7,12,28,0,1,9.3,Free,1,2.6,1,50,26,62.9,63.2,1
2020-01-15,Cloud Engineer,Full-Time,Remote,Software,Singapore,Brown Ltd,Medium,5.0,1,1,35,0,38152.0,0,0,0,2493,5,19,100,17,0,8.4,Corporate,0,11.8,0,29,16,49.2,24.0,0
2021-12-25,Backend Developer,Part-Time,Onsite,Healthcare,Sydney,Bryan LLC,Startup,39.0,1,1,499,1,38447.0,0,1,1111,2331,7,49,42,46,0,3.3,Corporate,0,12.9,1,22,0,35.6,67.5,1
2026-07-22,Data Science Intern,Internship,Remote,EdTech,Singapore,Johnson-Webb,Small,2.0,0,0,16,0,27774.0,0,0,0,2283,5,44,21,4,0,3.8,Corporate,0,35.3,1,36,15,27.5,67.8,1
2022-09-27,UI/UX Designer,Part-Time,Remote,Gaming,Bangalore,Peck Inc,Enterprise,24.0,1,1,260,0,20983.0,0,0,0,1339,1,45,32,11,0,1.1,Free,1,20.6,1,5,18,55.8,31.1,0
2026-09-25,AI Research Intern,Part-Time,Onsite,Healthcare,Toronto,Rodriguez Group,Medium,2.0,1,1,1,1,20823.0,0,0,0,835,6,35,40,17,1,6.1,Corporate,0,17.9,1,51,15,60.4,51.1,1
2023-02-06,AI Research Intern,Internship,Remote,Software,New York,Duran Inc,Startup,4.0,1,1,48,1,37543.0,0,0,0,2089,4,0,46,45,1,3.5,Corporate,0,39.4,1,4,0,79.0,27.1,0
2024-02-28,ML Engineer,Full-Time,Remote,Software,Sydney,Martinez-Torres,Medium,22.0,1,1,267,1,66805.0,0,0,0,1337,1,68,36,43,0,2.5,Free,1,26.7,1,23,22,56.8,50.2,1
2025-09-08,Cybersecurity Analyst,Contract,Remote,Cybersecurity,Berlin,"Lucas, Cooper and Smith",Small,25.0,1,1,328,1,30753.0,0,0,0,3325,5,43,43,25,0,2.2,Corporate,0,21.0,1,9,28,53.8,43.2,0
2023-04-14,Cybersecurity Analyst,Contract,Onsite,Healthcare,Singapore,"Miller, Young and Juarez",Medium,14.0,1,1,156,1,5653.0,0,1,1514,1843,3,28,35,33,0,9.2,Corporate,0,8.3,1,44,58,35.1,73.1,1
2022-05-20,Data Science Intern,Internship,Remote,Software,Singapore,"Jordan, Walker and Vargas",Small,34.0,0,1,401,1,38878.0,0,0,0,1986,3,44,68,17,0,0.0,Free,1,29.2,0,53,35,33.5,67.4,1
2024-02-12,AI Research Intern,Full-Time,Remote,EdTech,London,Giles LLC,Startup,2.0,1,1,26,1,31541.0,0,0,0,1547,1,6,49,0,0,4.7,Free,1,30.3,1,28,14,95.9,11.2,0
2025-08-13,Marketing Intern,Internship,Remote,Cybersecurity,Toronto,Jensen-Colon,Enterprise,2.0,1,1,74,0,24401.0,0,0,0,2711,2,55,58,1,1,9.4,Corporate,0,11.6,1,18,12,54.2,48.5,0
2019-01-05,Marketing Intern,Part-Time,Remote,Healthcare,San Francisco,"Bates, Olson and Scott",Startup,29.0,0,1,333,1,51478.0,0,0,0,2234,3,3,72,6,0,8.4,Free,1,11.6,0,19,13,62.6,33.4,0
2026-08-30,Cloud Engineer,Internship,Onsite,AI,London,Ramos Inc,Enterprise,30.0,1,1,371,1,39749.0,0,0,0,2151,3,25,75,1,0,5.7,Corporate,0,33.8,1,23,12,55.2,19.1,0
2019-07-12,Marketing Intern,Internship,Remote,FinTech,Singapore,"Carpenter, Savage and Spencer",Small,22.0,1,0,289,1,31648.0,0,0,0,2369,3,57,46,35,0,0.5,Corporate,0,22.3,1,63,0,66.8,28.0,0
2018-08-07,Backend Developer,Contract,Hybrid,E-Commerce,Bangalore,Brooks-Yoder,Small,31.0,0,1,347,1,16850.0,0,0,0,1343,2,34,35,58,0,2.3,Free,1,15.7,1,34,48,46.8,58.4,1
2022-04-17,AI Research Intern,Contract,Remote,FinTech,Sydney,"Beard, Terry and Brown",Medium,20.0,0,1,262,1,41082.0,0,0,0,517,8,40,64,6,0,6.4,Free,1,30.9,0,48,7,38.9,71.8,1
2018-08-11,Frontend Developer,Internship,Onsite,EdTech,Berlin,Garrison-Marquez,Medium,25.0,1,1,329,1,4623.0,0,0,0,3311,4,21,9,39,0,3.5,Corporate,0,25.5,0,4,38,61.8,14.3,0
2025-12-04,Cybersecurity Analyst,Part-Time,Hybrid,FinTech,New York,Sanchez-Johnson,Startup,27.0,1,1,342,1,27248.0,0,0,0,2253,2,43,88,27,1,5.3,Free,1,31.7,1,23,20,66.0,53.0,1
2022-02-16,Frontend Developer,Full-Time,Hybrid,E-Commerce,New York,Brooks PLC,Startup,4.0,0,1,36,1,41740.0,0,0,0,900,5,62,93,10,0,4.3,Corporate,0,8.5,0,49,38,27.7,61.5,1
2020-08-22,Marketing Intern,Internship,Remote,EdTech,Sydney,Webb LLC,Small,29.0,1,0,368,1,43114.0,0,0,0,2030,7,65,45,64,0,7.2,Corporate,0,25.7,1,17,34,41.0,75.7,1
2020-12-28,Marketing Intern,Full-Time,Remote,E-Commerce,Singapore,"Brennan, Freeman and Cohen",Medium,1.0,1,1,1,1,56827.0,0,1,2761,1894,5,0,45,40,0,3.5,Corporate,0,12.3,1,54,42,44.7,68.9,1
2024-12-21,Cloud Engineer,Contract,Remote,EdTech,New York,Guerrero and Sons,Enterprise,25.0,1,1,261,1,22406.0,0,0,0,884,1,11,55,28,0,1.4,Corporate,0,27.9,1,41,34,60.7,10.0,0
2019-11-19,Data Science Intern,Part-Time,Hybrid,FinTech,Sydney,"Leonard, Pitts and Johnson",Startup,24.0,1,0,270,1,50296.0,0,1,3110,1905,3,35,1,0,0,7.4,Corporate,0,21.2,1,55,35,32.0,52.5,1
2022-06-24,Cybersecurity Analyst,Part-Time,Remote,EdTech,Singapore,Jackson-Jackson,Enterprise,16.0,0,1,194,1,16580.0,0,0,0,2104,3,35,15,5,0,4.9,Corporate,0,9.3,1,32,10,36.1,40.4,0
2024-04-03,UI/UX Designer,Contract,Remote,EdTech,San Francisco,Clements-Peterson,Medium,11.0,1,1,138,0,34008.0,0,0,0,1497,3,58,10,13,0,7.9,Corporate,0,9.1,1,44,18,,13.5,0
2024-05-25,Data Science Intern,Contract,Remote,Marketing,Dubai,Johnson Inc,Small,34.0,1,1,383,1,36188.0,0,0,0,2014,2,9,36,43,0,3.6,Corporate,0,23.0,1,66,18,72.7,14.3,0
2025-06-11,Frontend Developer,Internship,Remote,AI,Dubai,Sharp PLC,Small,9.0,1,1,167,1,30697.0,0,0,0,1516,1,0,62,34,0,0.0,Free,1,24.8,0,8,10,87.3,25.9,0
2024-01-02,Marketing Intern,Full-Time,Remote,Marketing,Bangalore,Carter-Thompson,Startup,20.0,1,1,231,1,6731.0,0,0,0,1770,4,36,42,7,0,4.6,Corporate,0,22.8,0,12,17,63.2,34.7,0
2025-09-05,Data Science Intern,Full-Time,Onsite,Software,Toronto,Hamilton-Allen,Enterprise,14.0,0,1,189,1,7120.0,0,0,0,1908,3,40,40,46,0,5.8,Corporate,0,18.1,1,0,20,40.0,40.0,0
2025-02-28,ML Engineer,Internship,Onsite,FinTech,Berlin,Gardner-Smith,Startup,9.0,1,1,99,1,58892.0,0,1,2074,826,7,22,42,0,0,8.2,Corporate,0,23.0,1,10,43,42.0,45.8,0
2023-07-10,ML Engineer,Part-Time,Remote,Gaming,London,"Jackson, Ford and Kennedy",Medium,7.0,1,0,104,0,41213.0,0,0,0,865,0,12,0,39,0,5.7,Free,1,33.0,1,18,62,67.3,50.2,1
