posting_date,internship_title,employment_type,work_mode,industry,location,company_name,company_size,company_age,linkedin_presence,website_available,domain_age_months,verification_status,stipend,unrealistic_salary_flag,payment_required,registration_fee,job_description_length,grammatical_errors,vague_description_score,urgency_score,keyword_spam_score,fake_certificate_offer,recruiter_experience_years,recruiter_email_type,suspicious_email_domain,recruiter_response_time_hours,social_media_presence,emotional_manipulation_score,phishing_language_score,trust_signal_score,fraud_score,is_fake_posting
2019-02-22,Cloud Engineer,Contract,Hybrid,Marketing,Berlin,Flores-Reed,Startup,19.0,1,1,207,0,37317.0,0,0,0,2623,3,25,76,59,0,12.1,Corporate,0,6.7,1,12,5,48.5,5.6,0
2022-11-14,Backend Developer,Part-Time,Remote,Healthcare,Dubai,Callahan LLC,Small,4.0,1,1,44,1,35563.0,0,0,0,2454,2,4,21,44,0,3.3,Free,1,4.6,1,65,0,78.6,19.9,0
2019-10-11,Marketing Intern,Part-Time,Hybrid,Software,Sydney,Lopez-Fowler,Small,37.0,1,1,454,1,29663.0,0,0,0,1549,3,28,20,19,1,7.5,Corporate,0,15.2,0,5,27,57.9,33.1,0
2022-05-03,Cloud Engineer,Internship,Onsite,FinTech,Bangalore,Russell LLC,Small,21.0,1,1,265,1,58580.0,0,1,1150,1420,3,0,40,53,0,1.4,Corporate,0,17.0,1,42,34,73.5,40.0,0
2019-05-20,Cybersecurity Analyst,Contract,Onsite,Software,Sydney,"Pierce, Parsons and Livingston",Medium,39.0,1,1,484,1,33594.0,0,0,0,1596,3,40,50,25,0,0.0,Corporate,0,22.7,1,20,32,48.0,20.7,0
2023-01-06,Backend Developer,Part-Time,Hybrid,Cybersecurity,Sydney,Wade-Lee,Small,38.0,1,1,456,1,28466.0,0,0,0,2416,2,56,37,32,0,6.5,Free,1,27.3,0,0,35,50.5,45.4,0
2020-06-03,Cloud Engineer,Full-Time,Remote,Gaming,Berlin,Smith-Fowler,Startup,17.0,1,1,192,1,24334.0,0,0,0,1382,3,50,15,51,0,5.1,Corporate,0,13.1,1,55,17,72.5,22.9,0
2018-01-20,Frontend Developer,Part-Time,Hybrid,E-Commerce,Toronto,Williams-Nguyen,Enterprise,20.0,1,1,253,1,33795.0,0,0,0,2784,1,40,60,22,0,6.8,Corporate,0,28.2,1,0,0,74.7,17.2,0
2023-05-30,Cloud Engineer,Full-Time,Remote,FinTech,Bangalore,Baker Group,Enterprise,24.0,1,0,292,1,20450.0,0,0,0,1288,4,30,0,55,0,0.5,Corporate,0,15.3,0,55,31,51.3,35.7,0
2023-12-27,Cloud Engineer,Part-Time,Hybrid,E-Commerce,London,Jordan-Melendez,Medium,18.0,1,1,208,1,19412.0,0,0,0,1567,5,37,25,38,0,7.5,Corporate,0,35.7,0,4,44,48.9,15.8,0
2018-08-10,Data Science Intern,Full-Time,Remote,FinTech,Sydney,Miller-Long,Small,13.0,1,1,184,0,31469.0,0,1,4221,2257,0,22,18,52,0,4.6,Corporate,0,4.9,1,55,15,64.8,34.6,0
2021-02-07,Cybersecurity Analyst,Full-Time,Remote,EdTech,Dubai,Petty LLC,Startup,6.0,0,1,48,1,34431.0,0,0,0,2190,3,46,45,27,0,5.4,Corporate,0,9.7,1,33,50,19.2,60.1,1
2026-01-02,Backend Developer,Full-Time,Remote,AI,London,"Hogan, Austin and Price",Startup,12.0,1,1,143,0,26890.0,0,0,0,2266,4,49,31,38,1,11.0,Corporate,0,11.9,0,6,47,21.6,58.9,1
2020-07-31,Backend Developer,Part-Time,Remote,Cybersecurity,Singapore,Bruce-Berg,Medium,36.0,1,1,430,1,39375.0,0,0,0,2279,2,60,42,56,0,7.8,Free,1,18.0,1,57,24,63.7,57.6,1
2019-11-22,UI/UX Designer,Full-Time,Remote,Cybersecurity,Dubai,"Morse, Page and Ferguson",Small,8.0,0,1,116,1,32444.0,0,0,0,960,3,10,45,19,0,3.9,Corporate,0,1.0,1,25,0,68.3,29.9,0
2018-01-20,AI Research Intern,Part-Time,Remote,AI,Dubai,Graham Group,Medium,18.0,1,1,214,0,42261.0,0,0,0,1826,2,29,29,53,0,2.1,Corporate,0,17.7,1,17,0,81.3,0.0,0
2018-04-04,AI Research Intern,Internship,Remote,Marketing,San Francisco,Diaz-Lee,Startup,7.0,1,1,56,1,26471.0,0,0,0,2505,1,0,44,38,0,5.3,Free,1,2.6,1,16,35,77.4,31.1,0
2024-05-10,Backend Developer,Full-Time,Onsite,Healthcare,San Francisco,Brown-Hunter,Startup,33.0,1,1,421,0,5146.0,0,0,0,2934,3,51,74,35,0,3.5,Corporate,0,19.1,1,16,21,27.2,47.6,0
2025-07-15,Frontend Developer,Part-Time,Remote,Gaming,Singapore,Ramirez Inc,Small,19.0,1,1,231,1,28307.0,0,0,0,2311,8,19,21,0,0,3.5,Free,1,21.6,1,38,5,53.5,36.5,0
2025-08-07,Cybersecurity Analyst,Full-Time,Remote,EdTech,Sydney,Williams LLC,Medium,19.0,0,1,208,1,35720.0,0,0,0,2278,2,53,30,28,0,1.5,Corporate,0,26.7,1,11,18,45.5,42.6,0
2019-09-05,UI/UX Designer,Part-Time,Onsite,FinTech,Sydney,Ellis Inc,Startup,23.0,1,1,278,1,32669.0,0,0,0,1497,3,90,26,20,0,8.2,Corporate,0,45.0,1,18,25,32.3,44.4,0
2019-09-23,AI Research Intern,Internship,Remote,FinTech,Sydney,Mason PLC,Startup,28.0,1,1,341,0,32425.0,0,0,0,2197,4,37,48,34,1,8.1,Corporate,0,8.6,0,31,53,27.4,81.0,1
2022-05-08,Marketing Intern,Internship,Hybrid,Marketing,San Francisco,"Garcia, Nelson and Mcdowell",Medium,25.0,0,1,300,1,70814.0,0,1,4244,1097,3,38,73,9,0,3.6,Corporate,0,13.0,0,33,34,33.7,88.4,1
2021-11-26,UI/UX Designer,Contract,Remote,Software,Singapore,Johnson LLC,Medium,20.0,1,1,247,0,50799.0,0,0,0,1717,2,29,29,23,0,7.9,Corporate,0,18.7,0,27,15,63.0,20.5,0
2019-05-02,Marketing Intern,Contract,Remote,Gaming,Berlin,Newton LLC,Medium,38.0,1,1,446,1,14890.0,0,0,0,2708,4,14,82,27,0,3.5,Corporate,0,21.0,1,22,0,83.5,8.6,0
2026-07-06,UI/UX Designer,Part-Time,Remote,Healthcare,Sydney,Graham-Castaneda,Small,7.0,0,0,97,1,61825.0,0,0,0,1580,0,53,66,0,0,5.0,Free,1,18.9,1,0,8,56.9,52.2,1
2019-03-09,ML Engineer,Internship,Remote,AI,San Francisco,"Horton, Boyd and Gutierrez",Enterprise,27.0,1,1,345,1,47704.0,0,0,0,2230,1,12,37,42,0,5.0,Corporate,0,37.4,0,46,0,94.3,11.5,0
2018-07-18,AI Research Intern,Contract,Onsite,FinTech,Toronto,Smith-Grant,Startup,17.0,1,1,199,1,25619.0,0,0,0,2506,5,16,43,21,0,6.8,Corporate,0,22.8,0,4,24,64.0,17.8,0
2024-07-12,Marketing Intern,Internship,Remote,AI,San Francisco,"Carlson, Wade and Jordan",Small,20.0,1,1,242,1,48707.0,0,0,0,1503,3,54,42,48,0,3.4,Corporate,0,21.0,1,29,1,62.5,16.1,0
2021-09-11,AI Research Intern,Part-Time,Hybrid,E-Commerce,Bangalore,"Garza, Walters and Bell",Startup,13.0,1,1,154,0,15801.0,0,0,0,1004,2,35,24,0,0,4.2,Corporate,0,19.2,0,36,16,46.3,8.0,0
2018-10-04,Backend Developer,Part-Time,Onsite,E-Commerce,Toronto,"Hale, Wheeler and Lowe",Medium,5.0,1,1,53,1,24415.0,0,0,0,2009,0,34,97,8,0,2.3,Corporate,0,13.6,0,5,31,53.9,24.3,0
2021-12-10,AI Research Intern,Contract,Hybrid,AI,Bangalore,"Brandt, Lowery and Khan",Small,6.0,1,0,67,1,66947.0,0,0,0,1704,3,46,16,23,0,6.9,Corporate,0,5.7,1,27,22,51.7,47.0,0
2021-01-15,Marketing Intern,Internship,Remote,Gaming,Sydney,Griffin-Gonzalez,Enterprise,22.0,1,0,265,0,21164.0,0,0,0,1206,3,34,15,46,1,11.5,Corporate,0,1.0,0,41,28,56.0,61.8,1
2019-12-08,UI/UX Designer,Full-Time,Onsite,E-Commerce,San Francisco,"Davidson, Woods and Bell",Startup,12.0,1,1,118,0,46379.0,0,0,0,860,9,66,16,71,0,4.3,Corporate,0,23.5,1,15,18,37.2,53.2,1
2018-05-22,Cybersecurity Analyst,Full-Time,Onsite,Cybersecurity,New York,Contreras Group,Medium,21.0,1,1,239,0,37908.0,0,0,0,1642,3,33,18,0,0,4.5,Free,1,33.9,0,19,4,55.0,29.6,0
2026-08-08,AI Research Intern,Part-Time,Remote,FinTech,London,Jordan-Leonard,Medium,15.0,1,1,167,1,30896.0,0,0,0,2119,0,30,43,2,0,6.3,Corporate,0,15.5,1,21,23,58.7,16.1,0
2019-09-12,Cybersecurity Analyst,Internship,Hybrid,EdTech,New York,Griffith and Sons,Small,20.0,1,1,247,0,31361.0,0,0,0,1436,4,27,0,46,0,4.9,Corporate,0,10.8,1,0,0,38.9,6.5,0
