Show Id,Title,Description,Director,Genres,Cast,Production Country,Release Date,Rating,Duration,Imdb Score,Content Type,Date Added
cc1b6ed9-cf9e-4057-8303-34577fb54477,(Un)Well,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",,Reality TV,,United States,2020,TV-MA,1 Season,6.6/10,TV Show,
e2ef4e91-fb25-42ab-b485-be8e3b23dedb,#Alive,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",Cho Il,"Horror Movies, International Movies, Thrillers","Yoo Ah-in, Park Shin-hye",South Korea,2020,TV-MA,99 min,6.2/10,Movie,"September 8, 2020"
b01b73b7-81f6-47a7-86d8-acb63080d525,#AnneFrank - Parallel Stories,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.","Sabina Fedeli, Anna Migotto","Documentaries, International Movies","Helen Mirren, Gengher Gatti",Italy,2019,TV-14,95 min,6.4/10,Movie,"July 1, 2020"
b6611af0-f53c-4a08-9ffa-9716dc57eb9c,#blackAF,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",,TV Comedies,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers",United States,2020,TV-MA,1 Season,6.6/10,TV Show,
7f2d4170-bab8-4d75-adc2-197f7124c070,#cats_the_mewvie,"This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",Michael Margolis,"Documentaries, International Movies",,Canada,2020,TV-14,90 min,5.1/10,Movie,"February 5, 2020"
c293788a-41f7-49a3-a7fc-005ea33bce2b,#FriendButMarried,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",Rako Prijanto,"Dramas, International Movies, Romantic Movies","Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,2018,TV-G,102 min,7.0/10,Movie,"May 21, 2020"
0555e67e-f624-4a05-93e4-55c117d0056d,#FriendButMarried 2,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",Rako Prijanto,"Dramas, International Movies, Romantic Movies","Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,2020,TV-G,104 min,7.0/10,Movie,"June 28, 2020"
c844460f-6178-4f87-929e-80816c74ca35,#realityhigh,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",Fernando Lebrija,Comedies,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,2017,TV-14,99 min,5.1/10,Movie,"September 8, 2017"
8b34e0e9-7258-4e49-b799-2e7eddbd7e34,#Rucker50,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,Robert McCullough Jr.,"Documentaries, Sports Movies",,United States,2016,TV-PG,56 min,5.1/10,Movie,"December 1, 2016"
6da2fc83-1546-4e9d-bf2e-9b472a059c18,#Selfie,"Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.",Cristina Jacob,"Comedies, Dramas, International Movies","Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent, Vlad Logigan, Alex Călin, Alina Chivulescu, Răzvan Vasilescu",Romania,2014,TV-MA,125 min,5.8/10,Movie,"June 21, 2021"
2aa7f08b-0321-4398-baa9-4a138f8cb9e9,#Selfie 69,"After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",Cristina Jacob,"Comedies, Dramas, International Movies","Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Călin, Vlad Logigan, Sali Levent, Silvia Busuioc, Mihaela Mihut",Romania,2016,TV-MA,119 min,6.0/10,Movie,"June 21, 2021"
ea94d1e2-dfb5-4fb0-b941-ca4b1ade98c1,10 Days in Sun City,"After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",Adze Ugah,"Comedies, International Movies, Romantic Movies","Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria",2017,TV-14,87 min,5.1/10,Movie,"October 18, 2019"
