Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
The Night Agent: Season 1,Yes,2023-03-23,"81,21,00,000",English,Show
Ginny & Georgia: Season 2,Yes,2023-01-05,"66,51,00,000",English,Show
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,"62,28,00,000",Korean,Show
Wednesday: Season 1,Yes,2022-11-23,"50,77,00,000",English,Show
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,"50,30,00,000",English,Movie
You: Season 4,Yes,2023-02-09,"44,06,00,000",English,Show
La Reina del Sur: Season 3,No,2022-12-30,"42,96,00,000",English,Show
Outer Banks: Season 3,Yes,2023-02-23,"40,25,00,000",English,Show
Ginny & Georgia: Season 1,Yes,2021-02-24,"30,21,00,000",English,Show
FUBAR: Season 1,Yes,2023-05-25,"26,62,00,000",English,Show
Manifest: Season 4,Yes,2022-11-04,"26,26,00,000",English,Show
Kaleidoscope: Limited Series,Yes,2023-01-01,"25,25,00,000",English,Movie
Firefly Lane: Season 2,Yes,2022-12-02,"25,15,00,000",English,Show
The Mother,Yes,2023-05-12,"24,99,00,000",English,Movie
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,"23,50,00,000",Korean,Show
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,"23,48,00,000",Korean,Movie
Love Is Blind: Season 4,Yes,2023-03-24,"22,97,00,000",English,Show
BEEF: Season 1,Yes,2023-04-06,"22,11,00,000",English,Show
The Diplomat: Season 1,Yes,2023-04-20,"21,41,00,000",English,Show
Luther: The Fallen Sun,Yes,2023-03-10,"20,97,00,000",English,Movie
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,"20,65,00,000",English,Show
Vikings: Valhalla: Season 2,Yes,2023-01-12,"20,55,00,000",English,Show
Extraction 2,Yes,2023-06-16,"20,18,00,000",English,Movie
"XO, Kitty: Season 1",Yes,2023-05-18,"20,07,00,000",English,Show
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,"19,47,00,000",Korean,Movie
Shadow and Bone: Season 2,Yes,2023-03-16,"19,29,00,000",English,Show
Outer Banks: Season 1,Yes,2020-04-15,"18,40,00,000",English,Show
Sweet Tooth: Season 2,Yes,2023-04-27,"18,23,00,000",English,Show
You People,Yes,2023-01-27,"18,18,00,000",English,Movie
Perfect Match: Season 1,Yes,2023-02-14,"17,68,00,000",English,Show
Sex/Life: Season 2,Yes,2023-03-02,"17,55,00,000",English,Show
