objectid,statecode,statename,country,adjusted_net_enrolment_ratio_in,percentage_of_children_in_the_a,average_annual_drop_out_rate_at,percentage_of_students_in_grade,gross_enrolment_ratio_in_higher,gender_parity_index_for_higher_,disabled_children__5_19_years__,proportion_of_trained_teacher__,percentage_of_schools_with_pupi,adjusted_1,percenta_1,average__1,percenta_2,gross_en_1,gender_p_1,disabled_1,proporti_1,percenta_3,sdg_4_index_score,st_areashape,st_lengthshape
1,32,Kerala,India,91.755,0.8195038,12.77,79.8375,37,1.4,73.16,43.785,91.41,85,87,91,55,71,100,52,36,89,74,40389743553.8276,1878833.34441883
2,30,Goa,India,90.455,0,16.01,70.8125,30.1,1.33,73.35,49.66,90.29,82,100,80,35,55,100,52,43,88,71,4002532683.34782,438409.73714345
3,15,Mizoram,India,79.6,0.60078993,30.67,71.7125,25.7,0.94,57.22,97.92,94.23,63,90,30,37,45,71,23,98,93,61,25141316386.4031,1105175.42513614
4,21,Odisha,India,82.24,6.10122398,28.87,70.925,22.1,0.82,58.35,68.95,80.7,67,0,37,35,37,14,25,65,75,40,178403428675.032,3909084.12695327
5,29,Karnataka,India,85.535,1.48918328,26.18,79.6,28.8,1.04,62.81,99.655,76.05,73,76,46,55,52,100,33,100,69,67,206394126731.097,4856318.65247175
6,11,Sikkim,India,45.465,0.57832836,24.15,65.375,53.9,1,66.52,26.945,99.03,0,91,52,23,100,100,40,17,99,58,9137814480.08263,486553.860697081
7,19,West Bengal,India,72.275,2.45090163,26.93,60.725,19.3,0.94,57.15,91.12,74.64,49,60,43,13,31,71,23,90,68,50,102696162896.557,7287809.58830411
8,13,Nagaland,India,56.24,0.90494344,31.28,61.275,18.7,1.11,50.82,50,95.91,20,85,28,14,30,100,11,43,95,47,20653184172.9346,1112098.13195069
9,17,Meghalaya,India,68.39,2.90204728,28.07,59.0875,25.8,1.17,56.47,98.255,86.87,42,52,39,9,46,100,21,98,83,55,27647760710.109,1351440.8221816
10,12,Arunachal Pradesh,India,79.015,2.91705832,29.93,58.7875,29.7,0.99,61.92,97.98,88.87,62,52,33,9,54,95,31,98,86,58,105814612368.275,2965844.29614974
11,33,Tamil Nadu,India,92.86,0.66232523,10.03,71.4375,49,0.97,62.93,32.655,82.89,87,89,100,37,98,86,33,24,78,70,135892552807.49,3580315.53249107
12,20,Jharkhand,India,67.985,2.01872785,36.64,75.425,19.1,0.96,59.74,47.61,50.01,41,67,10,45,31,81,27,41,36,42,95534898582.9027,3382622.49914946
13,31,Lakshadweep,India,81.94,3.62230362,5.8,62.175,7.4,3.4,69.53,83.29,100,67,41,100,16,4,100,45,81,100,62,31133265.6172053,146836.418433359
14,34,Puducherry,India,79.52,0.18271222,12.65,68.7,46.4,1.24,66.29,11.935,95.17,62,97,91,31,92,100,39,0,94,67,534559727.558176,527218.088593892
15,18,Assam,India,80.65,2.88413547,27.6,76.7375,18.7,0.95,51.14,18.52,75.33,65,53,41,48,30,76,12,7,68,44,98137734846.0601,3664546.12848155
16,16,Tripura,India,94.715,0.78820793,29.76,68.9,19.2,0.83,62.11,82.185,95.08,90,87,34,31,31,19,32,80,94,55,12536286224.3103,1005419.08805586
17,14,Manipur,India,88.205,1.72145966,21.05,70.9125,33.7,1.01,69.41,81.43,93.15,78,72,63,35,63,100,45,79,91,70,27154089602.3537,994696.853095456
18,35,Andaman & Nicobar,India,77.485,2.11608222,7.36,69.1,23.2,1.29,66.64,21.045,99.51,59,65,100,31,40,100,40,10,99,61,7658811872.23537,5093953.21488304
19,22,Chhattisgarh,India,77.04,3.74618032,24.23,69.2375,18.6,1.06,59.62,55.24,82.89,58,39,52,32,29,100,27,49,78,52,156548833085.25,3649979.16699801
20,24,Gujarat,India,74.97,1.93506571,24.08,74.775,20.4,0.85,62.62,50.57,70.47,54,68,53,44,33,29,33,44,62,47,224199592466.267,5435186.60697086
21,10,Bihar,India,77.04,4.94783698,39.73,72.525,13.6,0.79,58.46,24.525,21.75,58,19,0,39,18,0,25,14,0,19,116521936247.16,3338202.39694365
22,03,Punjab,India,78.56,2.28034231,8.6,63.9375,29.5,1.35,60.22,99.135,86.01,61,63,100,20,54,100,28,99,82,67,68541898273.458,2232455.09802187
23,06,Haryana,India,74.905,1.05191012,12.16,68.875,29.2,1.23,64.1,95.73,75.02,54,83,93,31,53,100,35,95,68,68,58213763499.1938,2958666.78396653
24,09,Uttar Pradesh,India,68.705,3.90111625,12.71,54.9375,25.8,1.14,59.19,50,55.96,43,36,91,0,46,100,26,43,44,48,304583764181.544,7004515.32848071
25,01,Ladakh,India,57.215,2.04146415,24.35,64.575,30.9,1.09,60.97,50,96.07,22,67,52,21,57,100,30,43,95,54,252729760380.672,3829009.41851495
26,01,Jammu And Kashmir,India,57.215,2.04146415,24.35,64.575,30.9,1.09,60.97,50,96.07,22,67,52,21,57,100,30,43,95,54,77117808323.2103,1800590.16543851
27,04,Chandigarh,India,78.735,0.43902577,0,79.1875,50.6,1.54,63.21,99.42,82,61,93,100,54,100,100,34,99,77,80,155614444.910851,73369.4456892564
28,08,Rajasthan,India,72.485,5.02125425,15.19,81.25,23,1,56.04,31.63,74.35,50,18,83,58,39,100,21,22,67,51,429929892039.121,6134997.51501783
29,26,The Dadra And Nagar Haveli And Daman And Diu,India,76.79,1.48958292,27.96,74.45,9.3,1.7,59.85,47.96,88.16,57,76,40,43,9,100,28,41,85,53,665942625.355103,343824.532388863
30,07,Delhi,India,92.945,3.14677452,10.75,68.4875,46.3,1.16,58.12,70.295,46.43,87,48,97,30,92,100,24,66,32,64,1934799066.57077,273362.712967221
31,23,Madhya Pradesh,India,69.74,3.77651188,23.76,69.9375,21.5,0.97,63.99,95.115,71.03,45,38,54,33,36,86,35,94,63,54,368643918262.288,8199993.84477142
32,05,Uttarakhand,India,77.195,5.06678046,9.09,75.55,39.1,1,61.91,87.475,87.94,58,17,100,46,76,100,31,86,85,66,71693056479.7941,1993311.03877352
33,02,Himachal Pradesh,India,92.87,0.20816234,7.03,71.8875,39.6,1.3,67.74,92.285,96.19,87,97,100,38,77,100,42,91,95,81,77366905074.1947,2016486.83560707
34,27,Maharashtra,India,80.915,0.81263366,11.28,73.1125,32,0.9,70.3,71.325,75.32,65,87,96,40,60,52,46,67,68,65,347908876805.458,6141130.56576659
35,37,Andhra Pradesh,India,63.495,0.90923548,15.71,76.5125,32.4,0.81,61.55,49.565,85.99,33,85,81,48,60,10,31,43,82,52,177220383223.523,5615533.40007047
36,36,Telangana,India,82.535,,22.49,72.2375,36.2,1.02,,46.95,77.81,68,,58,38,69,100,,40,72,64,124320792851.558,2659009.60382339
