,Forecast
2024-01-02,397.95981057422256
2024-01-03,409.04347934413613
2024-01-04,404.7146622305848
2024-01-05,405.6056031761175
2024-01-06,404.0055840901502
2024-01-07,404.65390215181725
2024-01-08,403.1758715027711
2024-01-09,404.811499959422
2024-01-10,403.4987151109522
2024-01-11,404.69354168224737
2024-01-12,403.7610639939216
2024-01-13,404.56429697070524
2024-01-14,403.82306832130416
2024-01-15,404.4865174010612
2024-01-16,403.880793223363
2024-01-17,404.41917597559046
2024-01-18,403.94569750870966
2024-01-19,404.3651782556312
2024-01-20,403.9940116585024
2024-01-21,404.3244015432076
2024-01-22,404.0299640511309
2024-01-23,404.29182056514946
2024-01-24,404.05899498841995
2024-01-25,404.2657721704398
2024-01-26,404.08211845254795
2024-01-27,404.2453238046204
2024-01-28,404.10027455831306
2024-01-29,404.2292098558645
2024-01-30,404.11460821917746
2024-01-31,404.21645619774785
