,Forecast
2024-01-02,397.95868478280954
2024-01-03,409.03962228572067
2024-01-04,404.7163007166223
2024-01-05,405.60220774373425
2024-01-06,404.0070190031781
2024-01-07,404.65142797952825
2024-01-08,403.17639686559374
2024-01-09,404.80906985328477
2024-01-10,403.4991421728153
2024-01-11,404.69113867418525
2024-01-12,403.76142487256993
2024-01-13,404.56212319526827
2024-01-14,403.8232249941958
2024-01-15,404.48453739483455
2024-01-16,403.88078083705466
2024-01-17,404.41733015405094
2024-01-18,403.945552960464
2024-01-19,404.3634596498746
2024-01-20,403.9937441923022
2024-01-21,404.3228012662489
2024-01-22,404.02958773595554
2024-01-23,404.2903207618611
2024-01-24,404.058525956524
2024-01-25,404.26435802253883
2024-01-26,404.0815697774532
2024-01-27,404.24398342706013
2024-01-28,404.09965773475375
2024-01-29,404.22793228138505
2024-01-30,404.11393366766674
2024-01-31,404.21523166307804
