rank,company,cpuName,geekbenchSingle,geekbenchMulti,antutu9,coreCount,coreConfig,clockSpeed,gpu
1,Apple,A15 Bionic,1727,4688,794346,6, (2+4),3223,Apple GPU
2,MediaTek,Dimensity 9000,1269,4267,1017817,8, (1+3+4),3050,Mali-G710
3,Qualcomm,Snapdragon 8 Gen 1,1213,3765,1028349,8, (1+3+4),3000,Adreno 730
4,Apple,A14 Bionic,1581,4093,730211,6, (2+4),3100,Apple GPU
5,Qualcomm,Snapdragon 888 Plus,1162,3626,838764,8, (1+3+4),2995,Adreno 660
6,Samsung,Exynos 2200,1146,3534,963986,8, (1+3+4),2800,Samsung Xclipse 920
7,Qualcomm,Snapdragon 888,1120,3673,792308,8, (1+3+4),2840,Adreno 660
8,MediaTek,Dimensity 8100,915,3775,780778,8, (4+4),2850,Mali-G610 MC6
9,Google,Google Tensor,1038,2845,717527,8, (2+2+4),2800,Mali-G78 MP20
10,HiSilicon,Kirin 9000,1039,3677,761270,8, (1+3+4),3130,Mali-G78 MP24
11,Samsung,Exynos 2100,1082,3580,747506,8, (1+3+4),2900,Mali-G78 MP14
12,Apple,A13 Bionic,1321,3494,604579,6, (2+4),2660,Apple A13 Bionic GPU
13,Qualcomm,Snapdragon 870,993,3371,692361,8, (1+3+4),3200,Adreno 650
14,HiSilicon,Kirin 9000E,1060,3741,726361,8, (1+3+4),3130,Mali-G78 MP22
15,Samsung,Exynos 1080,831,2902,699942,8, (1+3+4),2800,Mali-G78 MP10
16,Qualcomm,Snapdragon 865 Plus,913,3268,701680,8, (1+3+4),3100,Adreno 650
17,MediaTek,Dimensity 1200,972,3304,668930,8, (1+3+4),3000,Mali-G77 MC9
18,Qualcomm,Snapdragon 865,929,3418,648129,8, (1+3+4),2840,Adreno 650
19,MediaTek,Dimensity 1100,661,2486,664145,8, (4+4),2600,Mali-G77 MC9
20,Samsung,Exynos 990,938,2722,599189,8, (2+2+4),2730,Mali-G77 MP11
21,MediaTek,Dimensity 1000 Plus,788,2880,594965,8, (4+4),2600,Mali-G77 MC9
22,Apple,A12 Bionic,1116,2908,527150,6, (2+4),2490,Apple A12 Bionic GPU
23,Qualcomm,Snapdragon 860,732,2564,564604,8, (1+3+4),2960,Adreno 640
24,Qualcomm,Snapdragon 855 Plus,775,2773,538497,8, (1+3+4),2960,Adreno 640
25,HiSilicon,Kirin 990 (5G),767,3051,556879,8, (2+2+4),2860,Mali G76 MP16
26,Qualcomm,Snapdragon 778G Plus,815,2959,543604,8, (1+3+4),2500,Adreno 642L
