Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,111131914445000.0,,,
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000.0,,,
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,737369727570000.0,,,
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286,463325404089999.94,,,
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977,613838765740000.0,,,
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,419085494795000.0,,,
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,371819207090000.0,,,
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,356708113910000.0,,,
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042,532418081645000.0,,,
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592,425587852020000.0,,,
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,338798432540000.0,,,
2000-01-18,RELIANCE,EQ,308.75,309.0,318.95,305.55,318.25,314.2,312.14,10083321,314736518215000.0,,,
2000-01-19,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,368749027475000.0,,,
2000-01-20,RELIANCE,EQ,319.6,320.0,324.9,310.55,311.5,312.85,318.95,15428711,492094858760000.06,,,
2000-01-21,RELIANCE,EQ,312.85,312.7,328.4,312.0,327.5,326.35,322.05,17137072,551904815270000.0,,,
2000-01-24,RELIANCE,EQ,326.35,325.5,331.85,322.0,326.5,326.15,327.87,13163301,431588146595000.0,,,
2000-01-25,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949,313821754210000.0,,,
2000-01-27,RELIANCE,EQ,319.95,329.0,336.8,322.7,334.5,334.95,331.67,15014556,497986348055000.0,,,
2000-01-28,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252,396581784920000.0,,,
2000-01-31,RELIANCE,EQ,338.35,334.45,336.0,326.55,327.05,328.15,331.46,10191331,337800823870000.0,,,
2000-02-01,RELIANCE,EQ,328.15,330.8,337.45,328.0,336.05,334.05,334.35,10707804,358013722035000.0,,,
2000-02-02,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848,341388434825000.0,,,
2000-02-03,RELIANCE,EQ,340.15,342.0,343.5,336.4,342.5,341.65,340.17,6771527,230344678100000.0,,,
2000-02-04,RELIANCE,EQ,341.65,344.0,347.35,341.7,342.75,344.15,344.87,7106910,245093117850000.0,,,
2000-02-07,RELIANCE,EQ,344.15,341.1,349.45,338.05,343.0,343.6,345.9,8193641,283415414590000.0,,,
2000-02-08,RELIANCE,EQ,343.6,345.5,346.9,341.05,342.1,342.4,344.0,6430661,221214659235000.0,,,
2000-02-09,RELIANCE,EQ,342.4,349.0,354.65,344.8,346.7,350.4,350.02,11436821,400308862560000.0,,,
2000-02-10,RELIANCE,EQ,350.4,348.8,363.8,344.9,363.0,355.75,352.92,10792579,380886496820000.0,,,
2000-02-11,RELIANCE,EQ,355.75,364.0,374.0,360.05,361.4,363.3,366.5,8155627,298899719775000.0,,,
2000-02-14,RELIANCE,EQ,363.3,359.0,360.9,350.0,350.8,352.1,355.41,5127399,182230982625000.0,,,
2000-02-15,RELIANCE,EQ,352.1,352.0,354.4,342.05,343.5,344.35,348.97,8124337,283512695225000.0,,,
2000-02-16,RELIANCE,EQ,344.35,350.0,353.8,343.1,346.75,348.15,348.91,7876392,274815741525000.0,,,
2000-02-17,RELIANCE,EQ,348.15,347.7,356.8,347.5,355.4,354.55,353.61,7670820,271245358435000.0,,,
2000-02-18,RELIANCE,EQ,354.55,356.9,357.95,348.0,350.3,349.45,353.11,5030667,177638929900000.0,,,
2000-02-21,RELIANCE,EQ,349.45,348.4,352.0,341.65,344.0,345.65,347.65,2944404,102362029135000.0,,,
2000-02-22,RELIANCE,EQ,345.65,346.0,347.0,332.5,335.25,334.35,338.6,7192242,243527061335000.0,,,
2000-02-23,RELIANCE,EQ,334.35,344.7,344.7,327.3,330.0,329.8,336.8,4831725,162732064455000.0,,,
2000-02-24,RELIANCE,EQ,329.8,332.9,340.7,329.3,339.0,336.75,336.11,5663873,190370496045000.0,,,
2000-02-25,RELIANCE,EQ,336.75,341.4,342.9,326.1,326.9,328.6,334.39,3912097,130814752575000.0,,,
2000-02-28,RELIANCE,EQ,328.6,324.85,337.25,310.0,337.25,333.1,326.95,5026004,164326970280000.0,,,
2000-02-29,RELIANCE,EQ,333.1,337.9,342.85,306.45,309.5,310.85,330.53,9970107,329542178650000.0,,,
2000-03-01,RELIANCE,EQ,310.85,315.0,329.85,299.0,317.25,316.8,313.87,10765888,337906497250000.0,,,
2000-03-02,RELIANCE,EQ,316.8,318.85,322.0,291.5,291.5,291.75,304.69,12536245,381964228030000.0,,,
2000-03-03,RELIANCE,EQ,291.75,286.1,286.1,268.45,268.45,268.45,272.37,4636776,126293615445000.0,,,
2000-03-06,RELIANCE,EQ,268.45,268.45,283.85,247.0,254.7,253.95,266.91,10430713,278402377635000.0,,,
2000-03-07,RELIANCE,EQ,253.95,257.0,259.0,240.0,244.5,242.3,247.15,9560450,236287027980000.03,,,
2000-03-08,RELIANCE,EQ,242.3,246.9,250.5,230.0,234.3,232.95,240.78,7256376,174718646065000.0,,,
2000-03-09,RELIANCE,EQ,232.95,235.9,242.4,224.15,230.9,231.3,232.51,5545792,128944788695000.0,,,
2000-03-10,RELIANCE,EQ,231.3,234.0,234.8,214.6,218.4,216.85,223.16,6597169,147221505515000.0,,,
2000-03-13,RELIANCE,EQ,216.85,219.9,229.5,200.3,203.3,203.2,217.37,10765401,234002328444999.97,,,
2000-03-14,RELIANCE,EQ,203.2,205.5,219.5,197.15,219.0,219.2,212.29,10106318,214543732900000.0,,,
2000-03-15,RELIANCE,EQ,219.2,224.0,236.75,216.0,236.75,236.75,232.23,5711222,132630862170000.0,,,
2000-03-16,RELIANCE,EQ,236.75,239.5,247.8,230.1,235.5,234.85,238.54,10564295,252003482819999.97,,,
2000-03-21,RELIANCE,EQ,234.85,238.8,242.8,227.6,242.5,237.9,234.11,6838036,160082425405000.0,,,
2000-03-22,RELIANCE,EQ,237.9,245.0,248.5,241.2,243.0,243.4,244.58,4931613,120616711855000.0,,,
2000-03-23,RELIANCE,EQ,243.4,245.25,245.8,238.55,239.95,240.95,241.32,4286132,103431890200000.0,,,
2000-03-24,RELIANCE,EQ,240.95,239.2,242.95,237.65,242.9,240.6,240.45,2637850,63428128350000.0,,,
2000-03-27,RELIANCE,EQ,240.6,243.0,259.85,243.0,259.85,259.85,255.4,4141666,105778281730000.0,,,
2000-03-28,RELIANCE,EQ,259.85,263.1,280.65,263.1,280.65,280.65,272.15,7026761,191234217185000.0,,,
2000-03-29,RELIANCE,EQ,280.65,284.8,289.9,269.0,271.25,271.3,278.5,10277833,286236474835000.0,,,
2000-03-30,RELIANCE,EQ,271.3,269.0,293.0,258.3,293.0,293.0,278.4,17168324,477960439639999.94,,,
2000-03-31,RELIANCE,EQ,293.0,297.0,316.45,280.1,316.45,316.45,303.93,19704184,598878330850000.0,,,
2000-04-03,RELIANCE,EQ,316.45,327.65,333.7,318.1,328.0,328.6,325.8,21353020,695677026520000.0,,,
2000-04-04,RELIANCE,EQ,328.6,326.0,326.0,302.35,302.35,302.35,310.24,13530488,419770267100000.0,,,
2000-04-05,RELIANCE,EQ,302.35,303.4,312.0,278.25,301.0,302.25,296.71,25186375,747306745375000.0,,,
2000-04-06,RELIANCE,EQ,302.25,303.0,326.45,302.55,326.45,326.15,312.99,16239068,508267356925000.0,,,
2000-04-07,RELIANCE,EQ,326.15,329.8,352.25,329.8,352.25,352.25,347.35,11686144,405922497740000.0,,,
2000-04-10,RELIANCE,EQ,352.25,369.9,380.0,359.5,363.45,364.55,369.31,22110719,816580635140000.0,,,
2000-04-11,RELIANCE,EQ,364.55,358.0,359.0,346.5,358.0,353.75,353.38,9759550,344879844220000.0,,,
2000-04-12,RELIANCE,EQ,353.75,357.0,360.0,334.4,335.4,337.95,346.8,17263869,598704507000000.0,,,
2000-04-13,RELIANCE,EQ,337.95,331.1,331.1,310.95,310.95,310.95,311.28,225213,7010414384999.999,,,
2000-04-17,RELIANCE,EQ,310.95,286.1,300.8,286.1,297.0,298.4,293.04,15931668,466854818264999.94,,,
2000-04-18,RELIANCE,EQ,298.4,297.1,308.9,294.0,299.0,300.05,302.75,8775778,265688479630000.03,,,
2000-04-19,RELIANCE,EQ,300.05,307.7,324.05,303.1,316.0,314.85,314.54,16293725,512502404705000.0,,,
2000-04-20,RELIANCE,EQ,314.85,313.0,340.05,309.25,340.05,337.75,323.07,19387991,626363285220000.0,,,
2000-04-24,RELIANCE,EQ,337.75,346.0,360.6,323.0,323.6,336.95,348.95,17618258,614797367160000.0,,,
2000-04-25,RELIANCE,EQ,336.95,322.3,339.5,311.65,333.0,332.05,320.47,15809540,506643614405000.0,,,
2000-04-26,RELIANCE,EQ,332.05,340.0,358.65,340.0,358.65,357.95,352.57,16998445,599321341545000.0,,,
2000-04-27,RELIANCE,EQ,357.95,360.8,366.0,338.3,343.5,345.65,352.56,29547592,1041726567675000.0,,,
2000-04-28,RELIANCE,EQ,345.65,347.5,351.9,340.3,344.4,345.05,346.2,13426369,464815822700000.0,,,
2000-05-02,RELIANCE,EQ,345.05,348.0,354.65,325.25,329.3,329.15,337.06,16424665,553606285889999.94,,,
2000-05-03,RELIANCE,EQ,329.15,327.0,333.85,309.2,331.0,328.0,324.41,13760253,446389965345000.0,,,
2000-05-04,RELIANCE,EQ,328.0,331.0,342.95,331.0,336.25,337.2,338.54,11327281,383473568370000.0,,,
2000-05-05,RELIANCE,EQ,337.2,338.5,341.55,328.1,335.0,335.35,335.31,11144621,373692746030000.0,,,
2000-05-08,RELIANCE,EQ,335.35,331.0,337.0,322.3,324.25,324.0,328.5,5891336,193527553490000.0,,,
2000-05-09,RELIANCE,EQ,324.0,321.5,331.85,318.4,330.25,328.35,324.01,6136642,198830996290000.0,,,
2000-05-10,RELIANCE,EQ,328.35,330.0,334.9,323.3,324.1,325.25,329.48,6652614,219190556160000.0,,,
2000-05-11,RELIANCE,EQ,325.25,324.05,324.05,314.0,318.5,316.75,318.6,6428965,204825659010000.0,,,
2000-05-12,RELIANCE,EQ,316.75,319.6,322.5,313.3,317.6,315.9,318.08,4135346,131536992859999.98,,,
2000-05-15,RELIANCE,EQ,315.9,312.05,324.7,306.5,318.6,319.5,315.42,5797353,182858003840000.0,,,
2000-05-16,RELIANCE,EQ,319.5,320.0,321.9,315.0,318.5,317.4,317.47,3133472,99478319420000.0,,,
2000-05-17,RELIANCE,EQ,317.4,320.9,328.4,316.25,319.0,318.85,324.18,7802567,252942171430000.03,,,
2000-05-18,RELIANCE,EQ,318.85,318.0,319.75,307.1,309.25,310.1,313.25,5382755,168616876165000.0,,,
2000-05-19,RELIANCE,EQ,310.1,308.0,319.05,307.25,315.0,315.6,313.99,7967132,250160607069999.97,,,
2000-05-22,RELIANCE,EQ,315.6,313.0,316.9,309.0,313.5,312.45,313.49,3117749,97738535195000.0,,,
2000-05-23,RELIANCE,EQ,312.45,312.3,316.0,308.5,315.1,314.75,312.48,4169391,130285473684999.98,,,
2000-05-24,RELIANCE,EQ,314.75,313.65,317.9,310.0,313.15,312.75,314.43,4041968,127093305765000.02,,,
2000-05-25,RELIANCE,EQ,312.75,312.3,317.8,311.1,313.5,312.8,314.91,2617268,82421530060000.0,,,
2000-05-26,RELIANCE,EQ,312.8,314.8,318.0,311.0,317.65,316.45,314.74,3504803,110311186959999.98,,,
2000-05-29,RELIANCE,EQ,316.45,318.5,347.45,318.0,337.7,339.45,335.76,11805354,396377493215000.0,,,
2000-05-30,RELIANCE,EQ,339.45,340.75,345.85,337.1,343.7,343.8,342.89,5690548,195125574360000.0,,,
2000-05-31,RELIANCE,EQ,343.8,351.0,356.8,342.1,343.3,343.9,349.35,8452065,295270466005000.0,,,
2000-06-01,RELIANCE,EQ,343.9,342.1,345.9,336.15,339.2,339.2,341.39,5381385,183716076435000.0,,,
2000-06-02,RELIANCE,EQ,339.2,343.0,346.0,334.1,335.9,337.45,341.63,5846405,199729196435000.0,,,
2000-06-05,RELIANCE,EQ,337.45,337.7,351.85,336.4,338.95,339.2,345.43,10843536,374573105960000.0,,,
2000-06-06,RELIANCE,EQ,339.2,338.0,342.85,336.1,338.4,338.8,339.82,3919322,133188131175000.0,,,
2000-06-07,RELIANCE,EQ,338.8,339.9,344.4,336.25,337.75,337.95,340.29,3752088,127679378990000.02,,,
2000-06-08,RELIANCE,EQ,337.95,339.9,345.0,338.25,340.0,340.85,342.03,4600458,157347211030000.0,,,
2000-06-09,RELIANCE,EQ,340.85,341.9,352.7,339.05,339.7,341.2,346.03,12293372,425387379605000.0,,,
2000-06-12,RELIANCE,EQ,341.2,342.4,345.7,338.55,340.1,339.4,342.26,4122051,141081562500000.0,,,
2000-06-13,RELIANCE,EQ,339.4,339.0,346.45,337.05,338.45,338.5,341.51,6836937,233491019815000.0,,,
2000-06-14,RELIANCE,EQ,338.5,346.5,346.5,336.1,337.85,337.35,341.17,4483842,152974732085000.0,,,
2000-06-15,RELIANCE,EQ,337.35,341.0,341.0,327.5,330.0,331.45,331.65,6077043,201545896270000.0,,,
2000-06-16,RELIANCE,EQ,331.45,329.55,335.85,329.0,332.9,332.25,333.39,4558790,151984812370000.0,,,
2000-06-19,RELIANCE,EQ,332.25,333.75,336.0,330.2,331.5,331.35,333.15,3102806,103371339430000.0,,,
