Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-08-25,TCS,EQ,850.0,1198.7,1198.7,979.0,985.0,987.95,1008.32,17116372,1725876095745000.0,,5206360,0.3042
2004-08-26,TCS,EQ,987.95,992.0,997.0,975.3,976.85,979.0,985.65,5055400,498286476730000.0,,1294899,0.2561
2004-08-27,TCS,EQ,979.0,982.4,982.4,958.55,961.2,962.65,969.94,3830750,371558603080000.0,,976527,0.2549
2004-08-30,TCS,EQ,962.65,969.9,990.0,965.0,986.4,986.75,982.65,3058151,300510633990000.0,,701664,0.22940000000000002
2004-08-31,TCS,EQ,986.75,986.5,990.0,976.0,987.8,988.1,982.18,2649332,260213265065000.0,,695234,0.26239999999999997
2004-09-01,TCS,EQ,988.1,990.0,995.0,983.6,986.0,987.9,989.68,2491943,246623557694999.97,,790586,0.3173
2004-09-02,TCS,EQ,987.9,989.9,1004.6,986.0,994.0,993.65,996.96,2669544,266142619640000.0,,501792,0.188
2004-09-03,TCS,EQ,993.65,1006.0,1100.0,990.35,998.7,997.85,996.91,1233732,122991693990000.02,,235508,0.19090000000000001
2004-09-06,TCS,EQ,997.85,1039.9,1039.9,992.9,996.8,994.85,998.87,1129834,112855395175000.0,,430184,0.38070000000000004
2004-09-07,TCS,EQ,994.85,1035.0,1035.0,995.0,995.0,995.6,997.34,721529,71961091360000.0,,198212,0.2747
2004-09-08,TCS,EQ,995.6,996.0,1000.8,991.1,992.25,993.7,995.29,824248,82036168250000.0,,220195,0.2671
2004-09-09,TCS,EQ,993.7,997.0,997.9,978.45,979.65,979.95,985.16,993398,97865742605000.0,,364189,0.3666
2004-09-10,TCS,EQ,979.95,990.0,990.0,976.0,989.95,988.8,985.12,801884,78995066425000.0,,203388,0.2536
2004-09-13,TCS,EQ,988.8,991.0,1015.5,991.0,1002.75,1003.5,1007.31,2613114,263222057075000.0,,735865,0.2816
2004-09-14,TCS,EQ,1003.5,1005.0,1018.8,1002.95,1015.95,1015.65,1012.95,1916934,194176341765000.0,,493998,0.2577
2004-09-15,TCS,EQ,1015.65,1018.0,1020.0,1001.2,1005.0,1006.1,1009.12,1498536,151220835185000.0,,483466,0.3226
2004-09-16,TCS,EQ,1006.1,1007.0,1015.0,1002.5,1011.0,1008.45,1009.82,919778,92880625155000.0,,240651,0.2616
2004-09-17,TCS,EQ,1008.45,1012.0,1029.9,1010.3,1029.9,1024.5,1021.09,1828487,186704728600000.0,,538239,0.2944
2004-09-20,TCS,EQ,1024.5,1032.4,1036.9,1020.15,1022.5,1022.9,1028.83,1069028,109984353400000.0,,305251,0.28550000000000003
2004-09-21,TCS,EQ,1022.9,1024.85,1048.5,1022.0,1047.4,1045.8,1039.54,1737135,180582247935000.0,,413801,0.2382
2004-09-22,TCS,EQ,1045.8,1048.4,1056.0,1037.1,1049.9,1052.05,1047.57,1921448,201285707725000.0,,443693,0.2309
2004-09-23,TCS,EQ,1052.05,1048.0,1049.0,1027.0,1028.0,1030.25,1037.8,1977460,205219984925000.0,,846586,0.42810000000000004
2004-09-24,TCS,EQ,1030.25,1029.1,1040.0,1026.0,1027.6,1028.8,1033.94,1010401,104469291485000.0,,218183,0.2159
2004-09-27,TCS,EQ,1028.8,1027.5,1032.5,1015.0,1019.0,1020.75,1022.44,1028689,105176792875000.0,,299518,0.2912
2004-09-28,TCS,EQ,1020.75,1016.0,1027.4,1012.5,1016.2,1015.55,1020.82,792427,80892486505000.0,,205152,0.2589
2004-09-29,TCS,EQ,1015.55,1019.25,1033.0,1016.15,1031.0,1031.0,1024.61,1467147,150325381695000.0,,504626,0.344
2004-09-30,TCS,EQ,1031.0,1035.6,1040.9,1020.65,1025.1,1027.1,1032.72,1565179,161639741775000.0,,585075,0.3738
2004-10-01,TCS,EQ,1027.1,1029.0,1056.45,1026.35,1048.5,1047.7,1043.58,1371111,143086157380000.0,,502221,0.3663
2004-10-04,TCS,EQ,1047.7,1057.0,1081.0,1054.45,1079.2,1076.5,1071.89,1891228,202718607370000.0,,790442,0.418
2004-10-05,TCS,EQ,1076.5,1080.3,1089.0,1075.5,1077.05,1080.7,1083.44,1792661,194224809145000.0,,532812,0.2972
2004-10-06,TCS,EQ,1080.7,1081.0,1102.8,1075.05,1082.0,1081.6,1090.08,2208833,240781336490000.0,,701623,0.31760000000000005
2004-10-07,TCS,EQ,1081.6,1083.0,1100.0,1083.0,1099.6,1097.1,1093.19,1260016,137743728184999.98,,403582,0.32030000000000003
2004-10-08,TCS,EQ,1097.1,1098.0,1111.0,1095.0,1097.8,1098.05,1103.24,1069865,118031920455000.0,,308783,0.2886
2004-10-09,TCS,EQ,1098.05,1099.9,1103.85,1094.25,1103.0,1100.65,1099.79,258539,28433831260000.004,,89081,0.3446
2004-10-11,TCS,EQ,1100.65,1100.0,1111.5,1085.0,1089.6,1089.3,1099.02,1166507,128201612955000.0,,459319,0.39380000000000004
2004-10-12,TCS,EQ,1089.3,1110.0,1115.0,1077.65,1080.0,1084.45,1093.36,1950064,213212137190000.0,,520867,0.2671
2004-10-14,TCS,EQ,1084.45,1103.0,1124.0,1088.05,1117.5,1116.2,1107.77,2403248,266223430965000.0,,677707,0.282
2004-10-15,TCS,EQ,1116.2,1121.7,1141.0,1117.25,1127.6,1126.0,1129.32,2224968,251269315030000.03,,621885,0.2795
2004-10-18,TCS,EQ,1126.0,1134.0,1142.0,1125.25,1134.0,1137.25,1135.53,1711668,194364275515000.0,,705586,0.4122
2004-10-19,TCS,EQ,1137.25,1140.15,1148.7,1136.1,1143.0,1143.2,1142.22,1470891,168007460140000.0,,650387,0.4422
2004-10-20,TCS,EQ,1143.2,1144.8,1149.9,1129.0,1134.2,1133.25,1141.59,900854,102840183685000.0,,285336,0.31670000000000004
