,Name,All Critics Reviews,Rotten/Fresh,Date
0,David Walsh,It might be best perhaps to describe Titanic as a sort of lowest common denominator. The film contains certain minimums necessary to draw an audience ... but its very blandness ... accounts for its great success.,rotten,"February 12, 2021"
1,Mike Massie,Stirring music and seamless special effects add to the thrills - it's just a shame it takes so long to get to that point.,fresh,"September 25, 2020"
2,Geoff Brown,"For all the sluggish script and the enormous weight of the special effects, this movie behemoth still has the power to shake us rigid and and touch the soul.",fresh,"February 6, 2020"
3,Nigel Andrews,"[The ending] is a masterpiece of popcorn tragedy: not deep, not sophisticated, barely even credible, but gut-clutching for those of us who have already lost the sensible use of our stomachs, as we would in any worthwhile fairground ride.",fresh,"February 6, 2020"
4,Rachel Wagner,It's the kind of movie that just doesn't come along that often.,fresh,"June 28, 2019"
5,Sean Burns,"In recent years I've come around to thinking that a more nuanced version of the tale with better-rounded characters wouldn't resonate as powerfully as Cameron's shamelessly bold, sometimes silly strokes.",fresh,"June 20, 2019"
6,David Baron,"See Titanic, then, for its success as an outrageous visual stunt -- a marvel of cinematic (and computer) sleight-of-hand. But don't go with any illusions that this soap opera on water is anything but a cartoon melodrama with fairy-tale leads.",fresh,"February 21, 2019"
7,Quentin Curtis,"The movie is a ride, and not without the odd moment of corniness. But it's also about freedom and flight, bondage and stagnation. And most fittingly, as a memorial itself, it's about memory and the act of remembering.",fresh,"February 6, 2019"
8,Duane Byrge,"No meager disaster movie, greased by generic formula and goosed by big-bucks technology... Titanic is one big, bruising movie that will appeal on different levels to different audiences.",fresh,"December 26, 2018"
9,Hannah Ryan,"Titanic has deservedly cemented its place as one of the greatest movies of all time, as it manages to capture the wretchedness of historical tragedy while also skilfully enrapturing us with the dedication shown by one person to another...",fresh,"August 24, 2018"
10,Matthew Sweet,"The dialogue may be unspeakable, but the film remains unsinkable.",fresh,"March 2, 2018"
11,Jack Mathews,"Cameron's aim was to set the most intimate love story possible against one of the century's biggest tragedies, and he very nearly pulls it off. DiCaprio has a captivating presence in a role that might have been written for a young Clark Gable.",fresh,"January 3, 2018"
12,Alissa Wilkinson,"What I can tell you, risking puns, is that it swept me off my feet almost from the get-go, a grand epic romance-disaster that reminded me, in the middle of my overstuffed-with-movies life, of what we mean when we talk about the power of cinema.",fresh,"December 19, 2017"
13,Jason Bailey,"Sure, 'Titanic' may be corny, clumsy, and obvious-but the sincerity of its emotions and the power of its spectacle endure.",fresh,"December 15, 2017"
14,Paul Tatara,"Cameron has devised a tender love story between Kate Winslet and Leonardo DiCaprio that serves as the main focus of Titanic's storyline, and it works beautifully.",fresh,"February 25, 2014"
15,Dave Kehr,"If computer-generated special effects have overpowered human-generated drama, Cameron seizes that dangerously cold technology and recasts it as dream and delirium, profoundly human in its sources and longings.",fresh,"February 25, 2014"
16,Desmond Ryan,"The execution is state-of-the-art and breathtaking. Titanic offers the full compass of courage and cowardice, and it stands as an achievement that truly is a night to remember at the movies.",fresh,"February 25, 2014"
17,Maria Schneider,Titanic provides an absorbing blend of historical fact and old-fashioned Hollywood tearjerking.,fresh,"February 25, 2014"
18,Jay Boyar,Titanic is indeed a ship of dreams. Climb aboard and bon voyage.,fresh,"February 25, 2014"
19,Leah Rozen,DiCaprio and Winslet both deliver star-making performances.,fresh,"February 25, 2014"
20,Joe Holleman,"Take one of history's most compelling tragedies, tell it through the lives of two engaging young lovers and show it with some of the best-ever special effects and you have a dazzling, exciting movie that is also poignant and personal.",fresh,"February 25, 2014"
21,Serena Donadoni,It's a technically magnificent and emotionally wrenching experience.,fresh,"February 25, 2014"
22,Rod Dreher,"Titanic is an awesome achievement, a traditional Hollywood epic that dazzles your eyes, breaks your heart and shivers your soul.",fresh,"February 25, 2014"
23,Chris Knight,DiCaprio manages a good mix of youthful bravado and nervous uncertainty... And Winslet shines as a willful rich girl who discovers her sensual side with this earthy urchin.,fresh,"February 24, 2013"
24,Gene Siskel,"With his beatific, sweet, open face, DiCaprio gives us a rooting interest in hoping that someone important to us survives the wreck.",fresh,"January 16, 2013"
25,Ben Kendrick,Titanic 3D lacks creative synergy that could have been explored had the film been shot with 3D in mind but its easily the best example of post-conversion to date.,fresh,"September 27, 2012"
26,R.L. Shaffer,"A staggering film, layered with melodramatic romance, tragedy, intensity and breathtaking production design.",fresh,"September 26, 2012"
27,Jim Schembri,Jack and Rose actually cause the Titanic to hit the iceberg. Watch closely.,fresh,"September 19, 2012"
28,Felix Vasquez Jr.,Director James Cameron takes one of his most beloved historical incidents and transforms it in to a McDonald's product...,rotten,"September 12, 2012"
29,John J. Puccio,"While I admit the film does not impress me as much as it does most other people, there is no questioning its passion and excitement.",fresh,"September 5, 2012"
30,Kelly Vance,"When the bolts start to pop and the water bursts the bulkheads and the ship's orchestra plays waltzes, writer-director Cameron achieves his vision grandly.",fresh,"May 3, 2012"
31,Charlie Lyne,The most breezy 194 minutes ever to grace the multiplex.,fresh,"April 29, 2012"
32,Blake Howard,"The clunky dialogue, historical inaccuracy and overdose of Billy Zane in the opening stanza of the film is all but forgotten in one of the most emotionally affective, thrilling closing stanzas ever committed to celluloid.",fresh,"April 28, 2012"
33,Linda Cook,"'Titanic' is an epic that's see-worthy indeed. Directed/written/produced by James Cameron, its $200 million budget shows in its glorious effects, dazzling camera work and lavish sets, now, with the addition of Cameron's carefully crafted 3-D.",fresh,"April 21, 2012"
34,Bruce Bennett,"Yes, it is time to return to the chilly North Atlantic to appreciate again James Cameron's glorious epic, for its scope, underappreciated script and perfect casting.",fresh,"April 16, 2012"
