,Name,Top Critics Reviews,Rotten/Fresh,Date
0,Geoff Brown,"For all the sluggish script and the enormous weight of the special effects, this movie behemoth still has the power to shake us rigid and and touch the soul.",fresh,"February 6, 2020"
1,Nigel Andrews,"[The ending] is a masterpiece of popcorn tragedy: not deep, not sophisticated, barely even credible, but gut-clutching for those of us who have already lost the sensible use of our stomachs, as we would in any worthwhile fairground ride.",fresh,"February 6, 2020"
2,Quentin Curtis,"The movie is a ride, and not without the odd moment of corniness. But it's also about freedom and flight, bondage and stagnation. And most fittingly, as a memorial itself, it's about memory and the act of remembering.",fresh,"February 6, 2019"
3,Duane Byrge,"No meager disaster movie, greased by generic formula and goosed by big-bucks technology... Titanic is one big, bruising movie that will appeal on different levels to different audiences.",fresh,"December 26, 2018"
4,Jack Mathews,"Cameron's aim was to set the most intimate love story possible against one of the century's biggest tragedies, and he very nearly pulls it off. DiCaprio has a captivating presence in a role that might have been written for a young Clark Gable.",fresh,"January 3, 2018"
5,Alissa Wilkinson,"What I can tell you, risking puns, is that it swept me off my feet almost from the get-go, a grand epic romance-disaster that reminded me, in the middle of my overstuffed-with-movies life, of what we mean when we talk about the power of cinema.",fresh,"December 19, 2017"
6,Jason Bailey,"Sure, 'Titanic' may be corny, clumsy, and obvious-but the sincerity of its emotions and the power of its spectacle endure.",fresh,"December 15, 2017"
7,Paul Tatara,"Cameron has devised a tender love story between Kate Winslet and Leonardo DiCaprio that serves as the main focus of Titanic's storyline, and it works beautifully.",fresh,"February 25, 2014"
8,Dave Kehr,"If computer-generated special effects have overpowered human-generated drama, Cameron seizes that dangerously cold technology and recasts it as dream and delirium, profoundly human in its sources and longings.",fresh,"February 25, 2014"
9,Desmond Ryan,"The execution is state-of-the-art and breathtaking. Titanic offers the full compass of courage and cowardice, and it stands as an achievement that truly is a night to remember at the movies.",fresh,"February 25, 2014"
10,Maria Schneider,Titanic provides an absorbing blend of historical fact and old-fashioned Hollywood tearjerking.,fresh,"February 25, 2014"
11,Jay Boyar,Titanic is indeed a ship of dreams. Climb aboard and bon voyage.,fresh,"February 25, 2014"
12,Joe Holleman,"Take one of history's most compelling tragedies, tell it through the lives of two engaging young lovers and show it with some of the best-ever special effects and you have a dazzling, exciting movie that is also poignant and personal.",fresh,"February 25, 2014"
13,Gene Siskel,"With his beatific, sweet, open face, DiCaprio gives us a rooting interest in hoping that someone important to us survives the wreck.",fresh,"January 16, 2013"
14,Cath Clarke,We know the story ends badly but Cameron still sweeps us up in the romance between Kate Winslet's rebellious posh girl and DiCaprio's steerage kid.,fresh,"April 6, 2012"
15,David Sexton,"It has itself become, like the shipwreck, a cultural monument, only accreting value, not losing significance, as time goes by.",fresh,"April 6, 2012"
16,Dana Stevens,"Cameron's three-hour disaster epic is a triumph of popular art -- of folk art, really.",fresh,"April 6, 2012"
17,Rafer Guzman,"""Titanic"" still amazes as the kind of massive, build-and-destroy production that few filmmakers have the ambition or budget to make.",fresh,"April 6, 2012"
18,Ann Hornaday,"[Cameron] stages the sinking with a flawless sense of detail, pacing, import and dread.",fresh,"April 6, 2012"
19,Alonso Duralde,"For all of its flaws, this movie works in the way that classic Hollywood movies do. It delivers.",fresh,"April 5, 2012"
20,Peter Bradshaw,"Only the snobbish or the obtuse could deny its ambition, verve and entertainment firepower.",fresh,"April 5, 2012"
21,Joe Morgenstern,This version has deepened and enriched a film that was already rich in emotions and remarkable for its depth of detail.,fresh,"April 5, 2012"
22,Peter Travers,How is Titanic in 3D? The answer is pretty damn dazzling.,fresh,"April 5, 2012"
23,Basia Cummings,"If you fancy indulging in pure, unadulterated silliness and spending a night in the '90s, this is a good bet. Otherwise...",rotten,"April 5, 2012"
24,Michael Phillips,Cameron is a genius at instilling narrative dread and designing a hokum-drenched fairy tale of a certain size.,fresh,"April 5, 2012"
25,Christy Lemire,"If any film should be redone in 3-D, it's ""Titanic."" And if any filmmaker should be the one doing the redoing, it's James Cameron.",fresh,"April 4, 2012"
