TransactionNo,Items,DateTime,Daypart,DayType
1,Bread,2016-10-30 09:58:11,Morning,Weekend
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend
3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend
3,Jam,2016-10-30 10:07:57,Morning,Weekend
3,Cookies,2016-10-30 10:07:57,Morning,Weekend
4,Muffin,2016-10-30 10:08:41,Morning,Weekend
5,Coffee,2016-10-30 10:13:03,Morning,Weekend
5,Pastry,2016-10-30 10:13:03,Morning,Weekend
5,Bread,2016-10-30 10:13:03,Morning,Weekend
6,Medialuna,2016-10-30 10:16:55,Morning,Weekend
6,Pastry,2016-10-30 10:16:55,Morning,Weekend
6,Muffin,2016-10-30 10:16:55,Morning,Weekend
7,Medialuna,2016-10-30 10:19:12,Morning,Weekend
7,Pastry,2016-10-30 10:19:12,Morning,Weekend
7,Coffee,2016-10-30 10:19:12,Morning,Weekend
7,Tea,2016-10-30 10:19:12,Morning,Weekend
8,Pastry,2016-10-30 10:20:51,Morning,Weekend
8,Bread,2016-10-30 10:20:51,Morning,Weekend
9,Bread,2016-10-30 10:21:59,Morning,Weekend
9,Muffin,2016-10-30 10:21:59,Morning,Weekend
10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend
10,Medialuna,2016-10-30 10:25:58,Morning,Weekend
11,Bread,2016-10-30 10:27:21,Morning,Weekend
11,Medialuna,2016-10-30 10:27:21,Morning,Weekend
11,Bread,2016-10-30 10:27:21,Morning,Weekend
12,Jam,2016-10-30 10:30:14,Morning,Weekend
12,Coffee,2016-10-30 10:30:14,Morning,Weekend
12,Tartine,2016-10-30 10:30:14,Morning,Weekend
12,Pastry,2016-10-30 10:30:14,Morning,Weekend
12,Tea,2016-10-30 10:30:14,Morning,Weekend
13,Basket,2016-10-30 10:31:24,Morning,Weekend
13,Bread,2016-10-30 10:31:24,Morning,Weekend
13,Coffee,2016-10-30 10:31:24,Morning,Weekend
14,Bread,2016-10-30 10:32:46,Morning,Weekend
14,Medialuna,2016-10-30 10:32:46,Morning,Weekend
14,Pastry,2016-10-30 10:32:46,Morning,Weekend
15,Mineral water,2016-10-30 10:34:36,Morning,Weekend
15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend
16,Bread,2016-10-30 10:37:08,Morning,Weekend
16,Medialuna,2016-10-30 10:37:08,Morning,Weekend
16,Coffee,2016-10-30 10:37:08,Morning,Weekend
17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend
18,Farm House,2016-10-30 10:41:56,Morning,Weekend
19,Farm House,2016-10-30 10:43:08,Morning,Weekend
19,Bread,2016-10-30 10:43:08,Morning,Weekend
20,Bread,2016-10-30 10:45:22,Morning,Weekend
20,Medialuna,2016-10-30 10:45:22,Morning,Weekend
21,Coffee,2016-10-30 10:49:29,Morning,Weekend
21,Coffee,2016-10-30 10:49:29,Morning,Weekend
21,Medialuna,2016-10-30 10:49:29,Morning,Weekend
21,Bread,2016-10-30 10:49:29,Morning,Weekend
22,Jam,2016-10-30 10:52:15,Morning,Weekend
23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend
23,Muffin,2016-10-30 10:53:49,Morning,Weekend
24,Bread,2016-10-30 10:54:33,Morning,Weekend
25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend
26,Fudge,2016-10-30 10:56:08,Morning,Weekend
27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend
28,Coffee,2016-10-30 11:03:24,Morning,Weekend
28,Bread,2016-10-30 11:03:24,Morning,Weekend
29,Bread,2016-10-30 11:05:30,Morning,Weekend
29,Jam,2016-10-30 11:05:30,Morning,Weekend
30,Bread,2016-10-30 11:07:19,Morning,Weekend
31,Basket,2016-10-30 11:12:56,Morning,Weekend
32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend
32,Muffin,2016-10-30 11:16:15,Morning,Weekend
33,Coffee,2016-10-30 11:22:49,Morning,Weekend
34,Coffee,2016-10-30 11:25:45,Morning,Weekend
34,Muffin,2016-10-30 11:25:45,Morning,Weekend
35,Muffin,2016-10-30 11:27:34,Morning,Weekend
35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend
36,Tea,2016-10-30 11:33:08,Morning,Weekend
36,Bread,2016-10-30 11:33:08,Morning,Weekend
37,Coffee,2016-10-30 11:37:10,Morning,Weekend
37,Bread,2016-10-30 11:37:10,Morning,Weekend
38,Bread,2016-10-30 11:42:40,Morning,Weekend
38,Tea,2016-10-30 11:42:40,Morning,Weekend
