# T, V, AP, RH, EP
8.58000000,38.38000000,1021.03000000,84.37000000,482.26000000
21.79000000,58.20000000,1017.21000000,66.74000000,446.94000000
16.64000000,48.92000000,1011.55000000,78.76000000,452.56000000
31.38000000,71.32000000,1009.17000000,60.42000000,433.44000000
9.20000000,40.03000000,1017.05000000,92.46000000,480.38000000
26.82000000,69.23000000,1013.28000000,50.86000000,436.36000000
9.48000000,40.80000000,1023.82000000,78.98000000,485.36000000
9.41000000,41.54000000,1019.48000000,82.19000000,481.59000000
31.03000000,69.59000000,1007.77000000,63.96000000,432.56000000
18.24000000,59.15000000,1012.00000000,84.40000000,449.48000000
19.96000000,39.53000000,1006.16000000,62.77000000,460.49000000
14.43000000,39.82000000,1012.56000000,78.52000000,470.17000000
14.38000000,40.71000000,1023.46000000,66.12000000,473.41000000
5.23000000,35.57000000,1026.23000000,79.38000000,488.50000000
14.43000000,41.76000000,1024.02000000,83.57000000,467.33000000
29.81000000,73.67000000,1005.60000000,60.91000000,430.67000000
17.79000000,43.52000000,1020.65000000,68.29000000,458.57000000
22.95000000,63.94000000,1013.91000000,81.52000000,438.33000000
18.94000000,48.70000000,1008.50000000,94.83000000,451.38000000
28.01000000,64.69000000,1007.61000000,58.45000000,440.23000000
28.08000000,59.14000000,1016.16000000,58.08000000,438.83000000
13.57000000,42.99000000,1007.51000000,88.95000000,472.04000000
11.36000000,41.48000000,1012.80000000,76.16000000,465.37000000
25.99000000,59.54000000,1007.78000000,74.48000000,441.32000000
15.19000000,41.43000000,1011.34000000,89.67000000,470.41000000
23.94000000,51.95000000,1008.18000000,71.87000000,451.84000000
28.56000000,74.22000000,1007.45000000,69.60000000,434.54000000
22.71000000,75.23000000,1010.48000000,76.86000000,444.00000000
6.30000000,39.33000000,1010.63000000,94.26000000,489.95000000
11.19000000,40.64000000,1020.57000000,84.49000000,472.86000000
25.96000000,68.08000000,1010.86000000,67.07000000,435.84000000
28.88000000,54.89000000,1007.16000000,46.60000000,440.99000000
21.93000000,60.84000000,1017.80000000,82.61000000,443.89000000
11.20000000,35.76000000,1019.24000000,64.59000000,473.33000000
25.16000000,58.82000000,1009.63000000,72.62000000,442.00000000
8.88000000,39.66000000,1015.21000000,88.29000000,481.45000000
31.63000000,69.59000000,1008.66000000,61.81000000,436.89000000
22.11000000,59.80000000,1016.86000000,70.14000000,450.62000000
21.69000000,44.57000000,1005.84000000,71.53000000,447.88000000
18.20000000,45.01000000,1013.82000000,68.14000000,452.21000000
12.14000000,44.85000000,1014.36000000,60.04000000,476.68000000
26.31000000,48.60000000,1002.64000000,60.04000000,440.06000000
17.27000000,43.52000000,1021.37000000,76.73000000,460.08000000
27.11000000,48.60000000,1002.78000000,53.39000000,439.40000000
14.81000000,39.58000000,1011.62000000,73.64000000,467.32000000
7.65000000,36.30000000,1016.50000000,65.51000000,482.56000000
25.70000000,69.45000000,1013.86000000,56.91000000,437.04000000
17.27000000,44.90000000,1007.85000000,78.80000000,454.19000000
