Monthly Income (INR),Cost of Living Expenditure (INR),Other Important Investments (INR),Consumerist Expenditure (INR),Crisis Shock Expenditure (INR),Total Monthly Expenditure (INR),Debt Status,Financial State Category,Current Monthly Income Enough for Next Few Months,Current Expenditure Worth It,Suggested Budget - Cost of Living,Suggested Budget - Other Important Investments,Suggested Budget - Consumerist Expenditure,Suggested Budget - Crisis Shocks
499815,259572,59973,94694,85576,499815,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
293440,169978,35748,48512,39202,293440,Not in Debt,Zero-Balance Living,No,No,0.48,0.12,0.11,0.11
93873,43278,8785,26385,15425,93873,In Debt,Zero-Balance Living,No,No,0.46,0.09,0.15,0.1
275825,161683,39654,56054,18434,275825,Not in Debt,Zero-Balance Living,No,No,0.48,0.14,0.13,0.07
246345,134238,34260,23594,36767,228859,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.48,0.14,0.08,0.05
490325,213316,87965,86260,102784,490325,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.08,0.12
344494,204956,45480,81393,12665,344494,In Debt,Zero-Balance Living,No,No,0.43,0.13,0.18,0.05
171329,90406,24187,37561,19175,171329,In Debt,Zero-Balance Living,No,No,0.48,0.14,0.09,0.11
25527,15072,1639,6603,2945,26259,In Debt,Deficit Living,No,No,0.59,0.07,0.12,0.07
246538,43393,10047,23437,23642,100519,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.18,0.1,0.1,0.1
344089,203460,54129,85587,38368,381544,In Debt,Deficit Living,No,No,0.43,0.16,0.1,0.11
201325,37863,5836,15293,24967,83959,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.1,0.08,0.11
24700,11033,3083,2906,7678,24700,Not in Debt,Zero-Balance Living,No,Yes,0.45,0.09,0.12,0.07
75116,54521,7558,19083,11301,92463,In Debt,Deficit Living,No,No,0.53,0.1,0.12,0.1
415048,292081,45867,144665,43568,526181,In Debt,Deficit Living,No,No,0.43,0.12,0.15,0.1
267458,173128,28669,47323,53259,302379,In Debt,Deficit Living,No,No,0.48,0.11,0.12,0.11
499796,209641,70991,79650,40666,400948,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.14,0.11,0.08
123059,92379,21586,26727,31527,172219,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
397842,263355,52176,115942,9860,441333,In Debt,Deficit Living,No,No,0.43,0.13,0.18,0.05
50123,20643,4103,4586,10860,40192,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.08,0.09,0.08
415792,167186,61082,46951,140573,415792,In Debt,Zero-Balance Living,No,Yes,0.4,0.15,0.11,0.12
345097,87657,28325,25430,16909,158321,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.08,0.05
129879,60093,10171,29421,24407,124092,In Debt,Low-Rate Saver (<25% in savings),No,No,0.46,0.09,0.1,0.1
314473,178719,56902,55500,23352,314473,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.13,0.07
253735,66402,28403,20035,41666,156506,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.11,0.08,0.11
147201,42468,12494,10594,11535,77091,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.09,0.08,0.08
66904,24279,3928,8195,9967,46369,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.07,0.12,0.08
299667,142924,54433,89918,55130,342405,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
306741,151018,59879,41885,89087,341869,In Debt,Deficit Living,No,Yes,0.43,0.17,0.08,0.12
24806,12909,2321,4233,7814,27277,In Debt,Deficit Living,No,No,0.52,0.09,0.12,0.07
265186,138645,32135,62844,8849,242473,In Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.12,0.1,0.05
229291,68468,14692,29087,40754,153001,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.13,0.11
147532,85448,21947,34666,5471,147532,Not in Debt,Zero-Balance Living,No,No,0.53,0.14,0.1,0.05
257115,120721,30636,58271,16710,226338,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.47,0.12,0.1,0.06
71217,38074,10405,9741,5409,63629,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.53,0.09,0.08,0.05
483978,115277,46138,54012,46931,262358,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.12,0.11,0.1
346810,162077,47490,39273,97970,346810,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.14,0.11,0.12
125848,64080,23512,15773,22483,125848,Not in Debt,Zero-Balance Living,No,Yes,0.51,0.14,0.08,0.09
399407,234754,38396,65263,187759,526172,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
216779,62170,25753,36994,22706,147623,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.12,0.17,0.1
102998,35729,12634,19789,11838,79990,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.35,0.12,0.15,0.1
316268,78816,30113,53066,21811,183806,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.17,0.07
118693,57538,17921,29771,11011,116241,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.14,0.08,0.05
334613,241083,64129,59948,103408,468568,In Debt,Deficit Living,No,Yes,0.43,0.17,0.08,0.12
373781,168795,50999,82145,31399,333338,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.14,0.1,0.08
246996,98174,28078,38457,73345,238054,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.11,0.13,0.11
414804,314656,58029,147020,16062,535767,In Debt,Deficit Living,No,No,0.43,0.14,0.18,0.05
234371,140597,38717,57476,0,234371,In Debt,Zero-Balance Living,No,No,0.48,0.15,0.14,0.05
429561,179062,31634,114406,87564,412666,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.42,0.12,0.09,0.12
117011,62343,15696,38395,32644,149078,In Debt,Deficit Living,No,No,0.53,0.13,0.09,0.1
120853,51542,10804,28874,29633,120853,In Debt,Zero-Balance Living,No,No,0.43,0.09,0.15,0.1
259013,173301,59800,51405,79049,363555,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
74322,24637,9637,16956,9271,60501,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.33,0.12,0.13,0.08
391747,182703,70670,106702,31672,391747,Not in Debt,Zero-Balance Living,No,No,0.43,0.17,0.12,0.08
238587,42667,15008,16969,25232,99876,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.18,0.1,0.08,0.11
436159,126787,55004,58915,56159,296865,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.13,0.14,0.12
152774,74523,24685,15376,38190,152774,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
217097,78647,15617,36931,13212,144407,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.1,0.17,0.06
475913,119483,32400,36407,84079,272369,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.08,0.12
338725,234824,29740,71630,133932,470126,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
428420,225410,26678,88622,75935,416645,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
109479,24551,7876,8872,12483,53782,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.09,0.08,0.1
98210,46316,14229,17442,20223,98210,In Debt,Zero-Balance Living,No,No,0.47,0.14,0.11,0.1
242296,62693,26807,18723,38340,146563,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.11,0.08,0.11
97018,48963,17397,26425,4233,97018,Not in Debt,Zero-Balance Living,No,No,0.5,0.14,0.13,0.05
292150,144296,56775,71841,19238,292150,Not in Debt,Zero-Balance Living,No,No,0.48,0.15,0.12,0.07
406758,231532,41436,52618,81172,406758,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
273990,156798,57848,112147,52761,379554,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
431677,120322,32053,25290,40402,218067,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.08,0.09
324814,192301,61113,46334,25066,324814,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.12,0.08
402255,143313,47087,52158,16001,258559,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.12,0.13,0.05
293482,111504,24152,24279,74362,234297,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.1,0.08,0.11
380697,224379,48084,70527,37707,380697,In Debt,Zero-Balance Living,No,No,0.43,0.13,0.14,0.1
138782,66953,7678,31027,33124,138782,Not in Debt,Zero-Balance Living,No,No,0.48,0.09,0.15,0.1
349184,151296,21651,65094,29679,267720,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.12,0.08
247773,122289,28957,58295,7560,217101,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.12,0.1,0.05
169362,94500,24460,41589,8813,169362,Not in Debt,Zero-Balance Living,No,No,0.48,0.14,0.15,0.05
413392,132415,41872,43626,66888,284801,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.12,0.11,0.12
420607,236563,81938,100381,1725,420607,In Debt,Zero-Balance Living,No,No,0.43,0.17,0.15,0.05
334563,169445,62447,92590,0,312729,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.17,0.1,0.05
260370,139403,50249,75423,0,260370,Not in Debt,Zero-Balance Living,No,No,0.48,0.15,0.14,0.05
43916,7568,3458,2888,4415,18329,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.17,0.08,0.08,0.08
136615,45636,8988,23126,32164,109914,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.33,0.09,0.15,0.1
427563,98737,31521,39045,1825,171128,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.12,0.09,0.05
268735,114208,40311,62189,0,210006,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.15,0.13,0.05
