chutney,,,,,,,,,,,,,,,,,,,
knor,ginger garlic paste,MTR Idli,,,,,,,,,,,,,,,,,
turkey,spirit fish,tomatoes,spaghetti,mineral water,patanjali tea,salmon,eggs,chicken,cadbury white chocolate,,,,,,,,,,
eggs,,,,,,,,,,,,,,,,,,,
kinley,,,,,,,,,,,,,,,,,,,
mineral water,eggs,chicken,chocolate,french fries,,,,,,,,,,,,,,,
vegetable basket,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
spaghetti,muffins,,,,,,,,,,,,,,,,,,
parle g,,,,,,,,,,,,,,,,,,,
knor,eggs,,,,,,,,,,,,,,,,,,
wholed cheeze,paneer,spaghetti,mineral water,white wine,,,,,,,,,,,,,,,
parle g,,,,,,,,,,,,,,,,,,,
maggi,pasta,mineral water,eggs,,,,,,,,,,,,,,,,
pasta,,,,,,,,,,,,,,,,,,,
chocolate,milk,,,,,,,,,,,,,,,,,,
turkey,eggs,chocolate,frooti,tomato juice,,,,,,,,,,,,,,,
parle g,,,,,,,,,,,,,,,,,,,
basmati rice,,,,,,,,,,,,,,,,,,,
maggi,pasta,yams,milk,chocolate,,,,,,,,,,,,,,,
muffins,,,,,,,,,,,,,,,,,,,
whole wheat pasta,paneer,spaghetti,knor,meatballs,chicken,condoms,cooking oil,sulaa vines,yogurt cake,protein bar,,,,,,,,,
red wine,trolly bag,hot dogs,,,,,,,,,,,,,,,,,
milk,bacon,eggs,french fries,fresh bread,,,,,,,,,,,,,,,
french fries,,,,,,,,,,,,,,,,,,,
oil,,,,,,,,,,,,,,,,,,,
spaghetti,chocolate,yogurt cake,,,,,,,,,,,,,,,,,
mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,,,,,,,,
milk,eggs,cake,chocolate,french fries,green tea,,,,,,,,,,,,,,
french fries,,,,,,,,,,,,,,,,,,,
mushroom,,,,,,,,,,,,,,,,,,,
whole wheat pasta,antioxydant juice,axe body spray,green tea,,,,,,,,,,,,,,,,
pancakes,,,,,,,,,,,,,,,,,,,
eggs,whole wheat basmati rice,chocolate,,,,,,,,,,,,,,,,,
turkey,eggs,cake,Roohafza,,,,,,,,,,,,,,,,
chicken,french fries,mushroom,,,,,,,,,,,,,,,,,
sandwich,,,,,,,,,,,,,,,,,,,
chocolate,frooti,curd,,,,,,,,,,,,,,,,,
red wine,paneer,spaghetti,pancakes,condoms,oil,cooking oil,tomato juice,,,,,,,,,,,,
parle g,,,,,,,,,,,,,,,,,,,
olive oil,cake,Roohafza,,,,,,,,,,,,,,,,,
protein bar,,,,,,,,,,,,,,,,,,,
burgers,chicken tikka,spaghetti,mineral water,milk,eggs,french fries,mushroom,pancakes,curd,,,,,,,,,,
tomatoes,almonds,cake,sulaa vines,curd,,,,,,,,,,,,,,,
buns,maggi,spaghetti,eggs,,,,,,,,,,,,,,,,
milk,chocolate,,,,,,,,,,,,,,,,,,
curd,,,,,,,,,,,,,,,,,,,
chocolate,,,,,,,,,,,,,,,,,,,
turkey,red wine,mineral water,eggs,kinder joy,,,,,,,,,,,,,,,
burgers,mineral water,eggs,green tea,pancakes,,,,,,,,,,,,,,,
spaghetti,knor,milk,chutney,cooking oil,broccoli,tomato juice,,,,,,,,,,,,,
mineral water,knor,almonds,cereals,green tea,,,,,,,,,,,,,,,
pepper,mineral water,mushroom,MTR Idli,protein bar,white wine,,,,,,,,,,,,,,
milk,,,,,,,,,,,,,,,,,,,
spaghetti,,,,,,,,,,,,,,,,,,,
green tea,,,,,,,,,,,,,,,,,,,
eggs,curd,,,,,,,,,,,,,,,,,,
turkey,maggi,olive oil,chicken,eggs,cadbury white chocolate,melons,fresh bread,,,,,,,,,,,,
pepper,spaghetti,ginger garlic paste,,,,,,,,,,,,,,,,,
red wine,,,,,,,,,,,,,,,,,,,
chicken tikka,spaghetti,mineral water,energy bar,eggs,cooking oil,pancakes,fresh bread,curd,,,,,,,,,,,
green tea,,,,,,,,,,,,,,,,,,,
burgers,eggs,yogurt cake,,,,,,,,,,,,,,,,,
wholed cheeze,buns,,,,,,,,,,,,,,,,,,
buns,pedigree,parle g,,,,,,,,,,,,,,,,,
paneer,pepper,milk,eggs,green tea,chocolate,white wine,,,,,,,,,,,,,
spaghetti,mineral water,vegetables mix,eggs,whole wheat basmati rice,fresh bread,,,,,,,,,,,,,,
chocolate,wholed cheeze,mineral water,salmon,whole wheat basmati rice,burger sauce,mushroom,pepper spray,curd,,,,,,,,,,,
