Age,Salary,Contribution Rate,Years to Retirement,Fund Balance,Risk Tolerance,Expected Return,Investment Strategy
63,155024.22096167167,0.13923155141512752,22,390166.0440873784,High,0.062452623126245624,Aggressive
53,81594.35940413259,0.1265147500512211,18,121192.35141196207,Low,0.05599570824871278,Balanced
39,88708.47624747614,0.05065297872413968,25,167062.82919946968,Medium,0.06678773624795198,Balanced
32,198479.6064856448,0.13328573448589978,25,824220.5588556931,Low,0.03837410847454177,Conservative
45,47331.933428647164,0.18991970853094686,6,49339.581205316426,High,0.03660126398618555,Conservative
63,98789.65483481689,0.10018665336692945,31,440567.2361214508,Low,0.09535715482894094,Conservative
43,40616.080303576266,0.19513987899803759,32,149922.8202327302,Medium,0.056032752343240816,Conservative
47,169583.32153970096,0.10351350187965415,25,257897.52649672615,Medium,0.08617406471891277,Conservative
35,45698.792620723485,0.07097817537767268,23,88214.61693853293,High,0.0933465401889975,Balanced
35,144581.2505986609,0.10976051223907078,22,236696.9010635315,Low,0.06919067237608792,Conservative
48,39602.18208059195,0.12419169693853163,37,257884.95699979397,Low,0.04390346149536359,Aggressive
60,144385.3564276475,0.1444196615264887,25,698732.0625251894,High,0.07438425690456538,Conservative
64,173316.28097770957,0.1257317243033501,30,527155.0297674348,High,0.05447311147504676,Conservative
48,97799.65957708975,0.13050779411093272,5,88633.08831941208,High,0.0978454480962322,Conservative
27,118761.50388347007,0.053610055753640806,30,103693.89639080102,High,0.08490316869681072,Conservative
46,98262.09546089802,0.08804302537009841,39,353810.8250751459,Medium,0.08519558586583995,Balanced
26,81083.08896754863,0.09660449869087581,11,123692.25570881226,Medium,0.06709512092460015,Conservative
48,166554.7781066118,0.1980632806822174,16,715390.3450971756,High,0.020673243443560578,Balanced
54,76240.43753426825,0.09433516077305507,25,153925.27805074095,High,0.08654565776013211,Conservative
62,152900.382146206,0.1844868273236428,2,38524.96378728596,Low,0.022029751478903962,Balanced
26,65053.503473384386,0.09571043008116181,14,61936.53213847734,Medium,0.02978864488210608,Conservative
45,72475.14533331603,0.06441654965635867,37,175244.2196339438,Low,0.08709352957142052,Aggressive
57,87198.39763812609,0.08714260985914166,23,191683.01479926726,Low,0.037503597826642504,Balanced
36,130156.584156944,0.0909242577371447,29,182860.4526189367,Medium,0.0872900917379379,Balanced
46,107251.79425712199,0.19673728908334764,35,674671.4875636322,High,0.03890807103070816,Conservative
49,156674.61767072947,0.1511437258350856,26,819106.0723956502,Medium,0.08165666559465894,Balanced
51,66306.4410571527,0.18975214934314494,21,249508.31356604953,Low,0.06337411330529716,Balanced
52,31814.2889343018,0.17524925333072328,1,3730.9408049063777,Medium,0.0736795090936218,Balanced
40,162014.77020348742,0.13678977360171465,6,193455.36633136036,High,0.08704650810995607,Aggressive
39,169680.3867596123,0.1513081886368345,15,295100.74062316597,Medium,0.0987222731704771,Conservative
27,40111.627728426225,0.14372557905440475,23,172167.0944327973,High,0.026855344847246405,Aggressive
61,133854.27876692743,0.149939453928768,29,403809.7724179698,High,0.07483066315035332,Aggressive
31,94295.15325842325,0.08971604969409144,0,0.0,Low,0.09669803848492171,Conservative
45,164962.26138306785,0.11121877013119058,26,472450.76126862195,Low,0.04990364996217379,Aggressive
33,178650.47421340135,0.13889237173972196,8,198631.61435018416,High,0.04669958676698928,Aggressive
63,174670.64035553235,0.05538926975837857,6,59005.57140984603,High,0.07439815911817531,Balanced
42,162124.72204964486,0.12242523521025402,4,57555.491085390764,Low,0.05215608453550091,Balanced
28,75738.8788861677,0.178959040009678,29,399326.4776941385,High,0.03715684131039176,Conservative
49,168021.23940661384,0.1238551591377995,26,531173.0922109823,Medium,0.03291736686452732,Conservative
38,120691.34090406976,0.13284850529832493,9,102270.33412530385,High,0.035410417091663454,Aggressive
33,38968.62452145544,0.08028576807727864,24,111743.87358137142,High,0.07634488237277709,Conservative
50,107679.60448270233,0.16915150159781572,17,422834.18976827373,Low,0.09349560856749609,Conservative
26,190166.84589509887,0.10383174320562934,6,164389.12675243785,Low,0.08448109584029881,Balanced
44,180936.08945504396,0.19348813302193169,30,1245169.2143011037,Low,0.05585613164449649,Aggressive
52,47384.927769509726,0.19905722123893693,31,192954.99615325782,Medium,0.06228809210906004,Balanced
31,156501.53657144294,0.18740008138937647,10,313254.32024983363,High,0.06961387482374025,Balanced
32,166984.78721289992,0.0627315117224216,9,124581.19663019481,High,0.0663957305202147,Balanced
59,76135.99200025001,0.09997747332440404,21,86116.79406356659,Low,0.09747781966051643,Aggressive
38,110173.45702598568,0.19177064526537763,30,631206.2365796622,High,0.09093544607818986,Aggressive
41,150867.9500488261,0.17067999422666566,13,299978.77484630834,High,0.02348321460898286,Aggressive
60,104637.05309959514,0.18667753839611445,2,27820.41658219731,Medium,0.08686126781955493,Balanced
64,49175.476207318075,0.13588297904616484,23,134976.95615303182,High,0.029124876930819613,Conservative
28,150000.01559589268,0.12205963822812954,13,353096.6172160352,Medium,0.07521676297514614,Aggressive
26,184978.57725500158,0.06597444755066767,15,223924.34429457117,High,0.042852001011337584,Conservative
30,140922.4038290468,0.17592073134846486,27,535179.4617652245,Low,0.08187067220737271,Balanced
28,161546.12725673575,0.1617712322630718,34,982151.6761687608,Low,0.020688499182102593,Aggressive
53,90921.63106183085,0.058831490452311834,39,155762.30855016861,High,0.05058174444198138,Conservative
42,61143.701671527924,0.08141218843929282,1,5529.6060904775395,Low,0.021721785208948408,Aggressive
